0: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
1: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
2: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
3: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
4: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
5: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
6: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
7: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
8: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
9: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
10: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
11: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
12: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
13: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
14: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
15: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
16: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
17: [[1, 5, 2, 3], [9, 8, 6, 4, 11], [7, 12, 10, 13]]
18: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
19: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
20: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
21: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
22: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
23: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
24: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
25: [[1, 5, 2, 3], [9, 8, 6, 4], [11, 7, 12, 10, 13]]
