0: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
1: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
2: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
3: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
4: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
5: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
6: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
7: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
8: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
9: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
10: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
11: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
12: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
13: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
14: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
15: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
16: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
17: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
18: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
19: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
20: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
21: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
22: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
23: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
24: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
25: [[8, 4, 10, 6], [5, 3, 1], [11, 9, 2], [12, 13, 7]]
