0: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
1: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
2: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
3: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
4: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
5: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
6: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
7: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
8: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
9: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
10: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
11: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
12: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
13: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
14: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
15: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
16: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
17: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
18: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
19: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
20: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
21: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
22: [[11, 1, 8, 3], [13, 7, 12, 9], [10, 2, 4, 6, 5]]
23: [[11, 1, 8, 3], [13, 7, 12, 9, 10], [2, 4, 6, 5]]
24: [[11, 1, 8, 3], [13, 7, 12, 9, 10], [2, 4, 6, 5]]
25: [[11, 1, 8, 3], [13, 7, 12, 9, 10], [2, 4, 6, 5]]
