0: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
1: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
2: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
3: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
4: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
5: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
6: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
7: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
8: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
9: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
10: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
11: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
12: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
13: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
14: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
15: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
16: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
17: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
18: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
19: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
20: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
21: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
22: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
23: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
24: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
25: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
26: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
27: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
28: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
29: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
30: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
31: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
32: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
33: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
34: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
35: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
36: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
37: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
38: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
39: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
40: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
41: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
42: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
43: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
44: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
45: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
46: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
47: [[19, 15, 1, 2], [3, 6, 5, 4], [11, 7, 9, 8], [10, 12, 13, 14], [16, 17, 18, 20], [21, 22, 23, 24]]
