No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9334003065741694,1.0285278413424868,3,8,8
1,0.9334003065741694,1.0285278413424868,3,8,8
2,1.1296351263019133,1.2804357298474947,5,6,3
3,1.2286924942334145,1.3835259568018188,8,4,2
4,1.3982689561303738,1.6607142857142858,4,12,2
5,1.3982689561303738,1.6607142857142858,4,12,2
6,1.3982689561303738,1.6607142857142858,4,12,2
7,1.3982689561303738,1.6607142857142858,4,12,2
8,1.3982689561303738,1.6607142857142858,4,12,2
9,1.3982689561303738,1.6607142857142858,4,12,2
10,1.3982689561303738,1.6607142857142858,4,12,2
11,1.3982689561303738,1.6607142857142858,4,12,2
12,1.3982689561303738,1.6607142857142858,4,12,2
13,1.3982689561303738,1.6607142857142858,4,12,2
14,1.4031525604031156,1.613417638766486,7,5,2
15,1.4031525604031156,1.613417638766486,7,5,2
16,1.428854110754534,1.6617408906882591,5,7,3
17,1.428854110754534,1.6617408906882591,5,7,3
18,1.428854110754534,1.6617408906882591,5,7,3
19,1.428854110754534,1.6617408906882591,5,7,3
20,1.4316727122791881,1.7080286278723182,4,14,3
21,1.4316727122791881,1.7080286278723182,4,14,3
22,1.4316727122791881,1.7080286278723182,4,14,3
23,1.4316727122791881,1.7080286278723182,4,14,3
24,1.5463207032663815,1.8253648413442227,5,10,3
25,1.5463207032663815,1.8253648413442227,5,10,3
26,1.5463207032663815,1.8253648413442227,5,10,3
27,1.6088538061410156,1.9039362699156515,5,10,3
28,1.6088538061410156,1.9039362699156515,5,10,3
29,1.6088538061410156,1.9039362699156515,5,10,3
30,1.6088538061410156,1.9039362699156515,5,10,3
31,1.6088538061410156,1.9039362699156515,5,10,3
32,1.6623014548112205,1.9710920308926954,5,10,3
33,1.6738175033583567,1.9481587356350163,7,4,2
34,1.6738175033583567,1.9481587356350163,7,4,2
35,1.6738175033583567,1.9481587356350163,7,4,2
36,1.69901824863166,1.97447962323175,7,4,3
37,1.69901824863166,1.97447962323175,7,4,3
38,1.69901824863166,1.97447962323175,7,4,3
39,1.69901824863166,1.97447962323175,7,4,3
40,1.69901824863166,1.97447962323175,7,4,3
41,1.69901824863166,1.97447962323175,7,4,3
42,1.69901824863166,1.97447962323175,7,4,3
43,1.69901824863166,1.97447962323175,7,4,3
44,1.69901824863166,1.97447962323175,7,4,3
45,1.69901824863166,1.97447962323175,7,4,3
46,1.69901824863166,1.97447962323175,7,4,3
47,1.69901824863166,1.97447962323175,7,4,3
48,1.69901824863166,1.97447962323175,7,4,3
49,1.69901824863166,1.97447962323175,7,4,3
50,1.69901824863166,1.97447962323175,7,4,3
51,1.69901824863166,1.97447962323175,7,4,3
52,1.69901824863166,1.97447962323175,7,4,3
53,1.69901824863166,1.97447962323175,7,4,3
54,1.69901824863166,1.97447962323175,7,4,3
55,1.69901824863166,1.97447962323175,7,4,3
56,1.69901824863166,1.97447962323175,7,4,3
57,1.69901824863166,1.97447962323175,7,4,3
58,1.69901824863166,1.97447962323175,7,4,3
59,1.69901824863166,1.97447962323175,7,4,3
60,1.69901824863166,1.97447962323175,7,4,3
61,1.69901824863166,1.97447962323175,7,4,3
62,1.69901824863166,1.97447962323175,7,4,3
63,1.69901824863166,1.97447962323175,7,4,3
64,1.69901824863166,1.97447962323175,7,4,3
65,1.69901824863166,1.97447962323175,7,4,3
66,1.69901824863166,1.97447962323175,7,4,3
67,1.69901824863166,1.97447962323175,7,4,3
68,1.69901824863166,1.97447962323175,7,4,3
69,1.69901824863166,1.97447962323175,7,4,3
70,1.69901824863166,1.97447962323175,7,4,3
71,1.69901824863166,1.97447962323175,7,4,3
72,1.69901824863166,1.97447962323175,7,4,3
73,1.69901824863166,1.97447962323175,7,4,3
74,1.69901824863166,1.97447962323175,7,4,3
75,1.69901824863166,1.97447962323175,7,4,3
76,1.69901824863166,1.97447962323175,7,4,3
77,1.69901824863166,1.97447962323175,7,4,3
78,1.69901824863166,1.97447962323175,7,4,3
79,1.69901824863166,1.97447962323175,7,4,3
80,1.69901824863166,1.97447962323175,7,4,3
81,1.69901824863166,1.97447962323175,7,4,3
82,1.69901824863166,1.97447962323175,7,4,3
83,1.69901824863166,1.97447962323175,7,4,3
84,1.69901824863166,1.97447962323175,7,4,3
85,1.69901824863166,1.97447962323175,7,4,3
86,1.69901824863166,1.97447962323175,7,4,3
87,1.69901824863166,1.97447962323175,7,4,3
88,1.69901824863166,1.97447962323175,7,4,3
89,1.69901824863166,1.97447962323175,7,4,3
90,1.69901824863166,1.97447962323175,7,4,3
91,1.69901824863166,1.97447962323175,7,4,3
