,mq,No. Clus,Max clus,Min clus
0,1.9878379857690203,8,5,2
1,1.9878379857690203,8,5,2
2,1.9590501069811417,9,3,2
3,1.9590501069811417,9,3,2
4,1.94576192964124,9,3,2
5,1.9287470766781112,9,3,2
6,1.9287470766781112,9,3,2
7,1.9053020790343305,9,3,2
8,1.8896654168459444,9,3,2
9,1.8593623865429139,9,3,2
10,1.845886450714037,9,4,2
11,1.8404378979341496,9,3,2
12,1.8248012357457633,9,3,2
13,1.8248012357457633,9,3,2
14,1.8171420592224896,8,5,2
15,1.801505397034103,8,5,2
16,1.7521535552570036,9,3,2
17,1.7429036818489152,9,3,2
18,1.7429036818489152,9,3,2
19,1.7429036818489152,9,3,2
20,1.7474747474747474,9,4,2
21,1.7429036818489152,9,3,2
22,1.7429036818489152,9,3,2
23,1.7429036818489152,9,3,2
24,1.7090501069811417,9,3,2
25,1.706213862765587,9,3,2
26,1.706213862765587,9,3,2
27,1.69329518091128,9,4,2
28,1.6820211161387633,9,3,2
29,1.6190366721401204,8,4,2
30,1.6007130124777185,9,4,2
31,1.6090501069811416,8,5,2
32,1.5788246996411297,8,4,2
33,1.4984917043740573,9,3,2
34,1.4984917043740573,9,3,2
35,1.4984917043740573,9,3,2
36,1.3865168930686171,8,5,2
37,1.34863374173719,8,6,2
38,1.3101199623004898,7,8,2
39,1.2911954736917255,7,8,2
40,1.216803795708461,6,11,2
41,1.1715686274509804,10,3,2
42,1.1429297381384496,5,13,2
43,1.1364912125344622,6,10,2
44,1.0192869666861484,3,11,3
45,0.9992988435402861,5,12,3
46,0.9899837299166158,3,19,2
47,0.9706691297208538,4,15,3
