0: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6, 7], [10, 14, 20], [21]]
1: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6, 7], [10, 14, 20], [21]]
2: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6, 7], [10, 14, 20], [21]]
3: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19], [4, 6, 7, 10, 14], [20, 21]]
4: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19], [4, 6, 7, 10, 14], [20, 21]]
5: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12], [11], [1, 9], [8, 13, 15], [19, 4], [6, 7], [10, 14, 20], [21]]
6: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11, 1, 9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
7: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12], [11, 1], [9, 8, 13], [15, 19, 4], [6, 7], [10, 14, 20], [21]]
8: [[22], [23, 24], [5, 17], [16, 3, 18, 2], [12, 11], [1, 9], [8, 13, 15], [19, 4, 6, 7], [10, 14], [20, 21]]
9: [[22], [23, 24], [5], [17, 16, 3, 18, 2], [12, 11], [1, 9, 8, 13, 15, 19, 4, 6], [7, 10, 14, 20, 21]]
10: [[22], [23, 24], [5, 17, 16], [3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6], [7, 10, 14, 20, 21]]
11: [[22], [23, 24], [5, 17, 16, 3, 18, 2], [12, 11, 1, 9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
12: [[22], [23, 24], [5, 17, 16], [3, 18, 2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6, 7], [10, 14, 20, 21]]
13: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11], [1, 9, 8, 13], [15, 19], [4, 6], [7, 10, 14], [20, 21]]
14: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12, 11], [1, 9, 8, 13], [15, 19], [4, 6], [7, 10, 14], [20, 21]]
15: [[22], [23, 24], [5, 17], [16, 3], [18, 2, 12], [11], [1, 9], [8, 13], [15, 19, 4], [6, 7, 10, 14], [20, 21]]
16: [[22], [23, 24], [5, 17, 16], [3, 18], [2, 12], [11, 1, 9], [8, 13, 15], [19, 4], [6, 7], [10, 14], [20, 21]]
17: [[22], [23, 24], [5, 17, 16], [3, 18, 2], [12, 11], [1, 9], [8, 13, 15, 19], [4, 6, 7, 10, 14], [20, 21]]
18: [[22, 23, 24], [5, 17], [16, 3, 18, 2, 12, 11], [1, 9, 8, 13, 15, 19, 4, 6], [7, 10, 14, 20, 21]]
19: [[22], [23, 24], [5, 17, 16], [3, 18], [2, 12, 11], [1, 9], [8, 13, 15, 19, 4, 6], [7, 10, 14, 20, 21]]
20: [[22], [23, 24], [5, 17], [16], [3, 18], [2, 12, 11, 1], [9, 8], [13, 15, 19, 4, 6], [7, 10, 14, 20, 21]]
21: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12], [11, 1, 9], [8, 13], [15, 19], [4, 6], [7, 10, 14], [20, 21]]
22: [[22, 23, 24], [5, 17], [16, 3, 18, 2], [12, 11], [1], [9, 8, 13], [15, 19, 4], [6, 7], [10, 14, 20], [21]]
23: [[22], [23, 24], [5, 17], [16, 3, 18], [2, 12], [11], [1, 9], [8, 13], [15, 19, 4, 6, 7, 10, 14, 20, 21]]
24: [[22], [23, 24], [5, 17], [16, 3], [18, 2], [12, 11], [1, 9, 8], [13], [15, 19, 4, 6], [7], [10, 14, 20], [21]]
25: [[22], [23, 24], [5, 17], [16, 3], [18, 2, 12], [11, 1], [9, 8, 13], [15, 19, 4], [6, 7, 10], [14, 20], [21]]
26: [[22], [23, 24], [5, 17, 16], [3, 18, 2, 12], [11, 1, 9, 8], [13, 15], [19, 4], [6, 7, 10, 14, 20, 21]]
27: [[22], [23, 24], [5, 17], [16], [3, 18, 2, 12, 11, 1, 9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
28: [[22], [23, 24], [5, 17, 16, 3], [18, 2], [12, 11, 1, 9, 8], [13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
29: [[22], [23, 24], [5], [17, 16], [3, 18], [2, 12, 11, 1], [9, 8, 13, 15], [19, 4], [6], [7, 10], [14, 20, 21]]
30: [[22], [23, 24], [5, 17, 16, 3], [18, 2], [12, 11], [1, 9, 8], [13], [15, 19, 4, 6, 7, 10, 14, 20, 21]]
31: [[22], [23, 24], [5, 17], [16], [3], [18, 2, 12, 11, 1, 9, 8, 13, 15, 19, 4, 6, 7, 10, 14, 20, 21]]
