0: [[16, 15, 4, 22, 3, 6], [11, 20, 7], [12, 5], [1, 2, 9], [10, 8, 13, 14], [17, 21, 18, 19], [23, 24]]
1: [[16, 15, 4], [22, 3, 6], [11, 20, 7], [12, 5], [1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
2: [[16, 15, 4], [22, 3, 6], [11, 20, 7], [12, 5, 1], [2, 9, 10], [8, 13, 14], [17, 21, 18, 19], [23, 24]]
3: [[16, 15, 4], [22, 3, 6, 11], [20, 7, 12], [5, 1, 2], [9, 10, 8, 13, 14], [17, 21, 18, 19], [23, 24]]
4: [[16, 15, 4], [22, 3, 6], [11, 20, 7, 12], [5, 1, 2], [9, 10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
5: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12, 5], [1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
6: [[16, 15], [4, 22], [3, 6], [11, 20, 7], [12, 5], [1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
7: [[16, 15], [4, 22], [3, 6], [11, 20, 7], [12, 5], [1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
8: [[16, 15], [4, 22], [3, 6], [11, 20, 7], [12, 5], [1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
9: [[16, 15], [4, 22], [3, 6, 11], [20, 7], [12, 5], [1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
10: [[16, 15, 4], [22, 3, 6], [11, 20, 7], [12, 5], [1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
11: [[16, 15, 4], [22, 3, 6], [11, 20, 7], [12, 5], [1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
12: [[16, 15, 4], [22, 3, 6, 11], [20, 7, 12], [5, 1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
13: [[16, 15, 4, 22, 3], [6, 11, 20, 7, 12, 5, 1, 2, 9, 10, 8, 13, 14, 17], [21, 18, 19, 23, 24]]
14: [[16, 15], [4, 22], [3, 6], [11, 20, 7], [12, 5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
15: [[16, 15], [4, 22], [3, 6], [11, 20, 7, 12], [5, 1], [2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
16: [[16, 15], [4, 22, 3], [6, 11], [20, 7], [12, 5], [1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19], [23, 24]]
17: [[16, 15, 4, 22], [3, 6, 11], [20, 7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
18: [[16, 15, 4, 22], [3, 6, 11], [20, 7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
19: [[16, 15, 4], [22, 3, 6], [11, 20, 7], [12, 5, 1], [2, 9], [10, 8, 13], [14, 17], [21, 18, 19], [23, 24]]
20: [[16, 15], [4, 22, 3], [6, 11, 20], [7, 12, 5], [1, 2, 9], [10, 8], [13, 14, 17, 21], [18, 19], [23, 24]]
21: [[16, 15], [4, 22, 3, 6, 11, 20, 7], [12, 5, 1], [2, 9, 10], [8, 13], [14, 17, 21], [18, 19], [23, 24]]
22: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
23: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
24: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
25: [[16, 15, 4], [22, 3], [6, 11], [20, 7], [12, 5, 1], [2, 9, 10], [8, 13, 14], [17, 21], [18, 19], [23, 24]]
26: [[16, 15], [4, 22, 3], [6, 11], [20, 7, 12], [5, 1, 2], [9, 10], [8, 13], [14, 17], [21, 18, 19], [23, 24]]
27: [[16, 15, 4, 22, 3], [6, 11, 20], [7, 12, 5], [1, 2, 9], [10, 8, 13, 14], [17, 21], [18, 19, 23, 24]]
28: [[16, 15], [4, 22], [3, 6], [11, 20, 7], [12, 5, 1, 2, 9, 10, 8], [13, 14, 17, 21, 18, 19, 23, 24]]
29: [[16, 15, 4, 22], [3, 6, 11], [20, 7, 12], [5, 1, 2], [9, 10], [8, 13, 14], [17, 21, 18], [19, 23, 24]]
30: [[16, 15, 4], [22, 3, 6, 11], [20, 7, 12], [5, 1], [2, 9], [10, 8], [13, 14, 17], [21, 18, 19], [23, 24]]
