,mq,No. Clus,Max clus,Min clus
0,2.006528361931018,8,5,2
1,2.006528361931018,8,5,2
2,1.843280234397176,9,3,2
3,1.851161720726938,8,4,2
4,1.7890346832004052,8,4,2
5,1.7137896440965494,9,3,2
6,1.7169389709906953,8,4,2
7,1.6953885726819848,8,3,3
8,1.6953885726819848,8,3,3
9,1.6953885726819848,8,3,3
10,1.6953885726819848,8,3,3
11,1.6920206703371004,9,3,2
12,1.6870668943603064,9,4,2
13,1.6424315619967793,9,3,2
14,1.6362543133195306,9,4,2
15,1.61634460547504,9,3,2
16,1.6110682893847195,9,3,2
17,1.6037335610269732,9,3,2
18,1.5873055445989568,8,4,2
19,1.5799420102489155,9,3,2
20,1.5585397830326837,9,4,2
21,1.5359859662928717,9,3,2
22,1.5269448609028817,9,4,2
23,1.4983389074693423,9,4,2
24,1.4804304107373163,9,3,2
25,1.4904990606228996,8,4,2
26,1.3548817642999227,8,4,2
27,1.352174596739814,9,4,2
28,1.278721906015318,9,3,2
29,1.226161720726938,7,7,2
30,1.2254826612243492,7,7,2
31,1.196725834454029,8,4,2
32,1.167862177508531,9,3,1
33,1.1417825750990052,7,7,2
34,1.0898507005923885,9,3,2
35,1.107765974569451,3,9,7
36,1.1038945916227862,7,8,2
37,1.0843210450627332,7,8,2
38,1.0823042721141352,3,12,3
39,1.0687002652519895,3,11,3
40,1.0687002652519895,3,11,3
41,1.066168935734153,4,16,2
42,1.0579286380201711,7,11,1
43,1.0627676357899483,3,18,3
44,0.9684452261734209,6,9,3
45,0.9982706948224189,4,14,3
46,0.9787395894812774,7,10,1
47,0.8913955609607783,5,14,2
