,mq,No. Clus,Max clus,Min clus
0,1.9888079553296945,7,6,2
1,1.9888079553296945,7,6,2
2,1.9888079553296945,7,6,2
3,1.909347685464627,8,4,2
4,1.7138095238095237,7,6,2
5,1.6756832116872684,9,3,2
6,1.6156313469612704,9,3,2
7,1.6156313469612704,9,3,2
8,1.6156313469612704,9,3,2
9,1.6028566885388476,8,4,2
10,1.6021792217444393,10,3,2
11,1.5707713423230665,9,4,2
12,1.532351408508918,9,3,2
13,1.532351408508918,9,3,2
14,1.5343505131883899,9,4,2
15,1.5261172804651066,9,3,2
16,1.530696112030445,9,4,2
17,1.5258672466539123,9,4,2
18,1.5042213883677298,8,4,2
19,1.4751874771056357,10,3,2
20,1.4575776041293282,9,4,2
21,1.4332262565021185,9,3,2
22,1.4390637098053978,7,6,2
23,1.4031262854792268,10,3,2
24,1.390958582333483,10,3,1
25,1.3828571428571428,7,9,1
26,1.3616075698572112,9,4,2
27,1.3443027560674619,10,3,2
28,1.3267764985412045,7,5,3
29,1.3084407096171802,6,6,2
30,1.300873315325648,10,3,2
31,1.1991596638655462,5,6,3
32,1.1981525720656154,9,3,2
33,1.211058838528718,5,12,2
34,1.193596269497598,7,6,2
35,1.1764013253374956,3,14,3
36,1.0717963578004146,10,3,1
37,1.1248630425621575,4,12,3
38,1.101777792777084,4,12,3
39,1.0576576576576577,4,8,2
40,1.0248125364486333,5,9,2
41,1.0213018463018464,6,11,2
42,0.955976491392313,6,9,2
43,0.9741204531902207,3,12,1
44,0.9538104251041899,5,14,2
45,0.9193697868396664,6,12,2
46,0.8541066776360895,11,3,2
47,0.9077694235588972,3,18,3
