0: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20, 18, 22], [23, 21, 24]]
1: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20, 18, 22], [23, 21, 24]]
2: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20, 18, 22], [23, 21, 24]]
3: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15], [16, 17, 19, 20], [18, 22], [23, 21, 24]]
4: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7], [9, 8, 13, 15], [16, 17, 19, 20, 18], [22, 23, 21, 24]]
5: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16, 17, 19, 20, 18], [22, 23, 21, 24]]
6: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
7: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
8: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
9: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
10: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
11: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
12: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
13: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
14: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
15: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
16: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
17: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
18: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
19: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
20: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
21: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
22: [[6, 3, 2, 10], [5, 14, 4, 12], [11, 1, 7, 9], [8, 13, 15, 16], [17, 19, 20, 18], [22, 23, 21, 24]]
