No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0518029004578793,1.153124653124653,9,3,2
1,1.1892063842765022,1.3157009657009657,10,2,2
2,1.112259446836472,1.3173952641165756,3,9,2
3,1.3685363880997112,1.6258812615955474,5,8,2
4,1.3685363880997112,1.6258812615955474,5,8,2
5,1.376770212613369,1.6364864864864863,4,7,2
6,1.5340705998221784,1.8318903318903321,4,7,3
7,1.5340705998221784,1.8318903318903321,4,7,3
8,1.5340705998221784,1.8318903318903321,4,7,3
9,1.5340705998221784,1.8318903318903321,4,7,3
10,1.5340705998221784,1.8318903318903321,4,7,3
11,1.5340705998221784,1.8318903318903321,4,7,3
12,1.7112336391330751,2.0672777731057104,4,8,3
13,1.7112336391330751,2.0672777731057104,4,8,3
14,1.7338199581823017,2.0819687558817996,5,6,2
15,1.7338199581823017,2.0819687558817996,5,6,2
16,1.7338199581823017,2.0819687558817996,5,6,2
17,1.7338199581823017,2.0819687558817996,5,6,2
18,1.7338199581823017,2.0819687558817996,5,6,2
19,1.7338199581823017,2.0819687558817996,5,6,2
20,1.7338199581823017,2.0819687558817996,5,6,2
21,1.7338199581823017,2.0819687558817996,5,6,2
22,1.7338199581823017,2.0819687558817996,5,6,2
23,1.7338199581823017,2.0819687558817996,5,6,2
24,1.7338199581823017,2.0819687558817996,5,6,2
25,1.7338199581823017,2.0819687558817996,5,6,2
26,1.7338199581823017,2.0819687558817996,5,6,2
27,1.7338199581823017,2.0819687558817996,5,6,2
28,1.7338199581823017,2.0819687558817996,5,6,2
29,1.7338199581823017,2.0819687558817996,5,6,2
30,1.7338199581823017,2.0819687558817996,5,6,2
31,1.7338199581823017,2.0819687558817996,5,6,2
32,1.7338199581823017,2.0819687558817996,5,6,2
33,1.7338199581823017,2.0819687558817996,5,6,2
34,1.7338199581823017,2.0819687558817996,5,6,2
35,1.7353537232178533,2.0551435406698566,7,4,2
36,1.7338199581823017,2.0819687558817996,5,6,2
37,1.7338199581823017,2.0819687558817996,5,6,2
38,1.7338199581823017,2.0819687558817996,5,6,2
39,1.7338199581823017,2.0819687558817996,5,6,2
40,1.7338199581823017,2.0819687558817996,5,6,2
41,1.7338199581823017,2.0819687558817996,5,6,2
42,1.7338199581823017,2.0819687558817996,5,6,2
43,1.7338199581823017,2.0819687558817996,5,6,2
44,1.7338199581823017,2.0819687558817996,5,6,2
45,1.7338199581823017,2.0819687558817996,5,6,2
46,1.7338199581823017,2.0819687558817996,5,6,2
47,1.7338199581823017,2.0819687558817996,5,6,2
48,1.7338199581823017,2.0819687558817996,5,6,2
49,1.7338199581823017,2.0819687558817996,5,6,2
50,1.7338199581823017,2.0819687558817996,5,6,2
51,1.7472361000638577,2.084848484848485,5,5,3
52,1.7472361000638577,2.084848484848485,5,5,3
53,1.764742367505921,2.092996324804105,6,4,3
54,1.764742367505921,2.092996324804105,6,4,3
55,1.764742367505921,2.092996324804105,6,4,3
56,1.764742367505921,2.092996324804105,6,4,3
57,1.764742367505921,2.092996324804105,6,4,3
58,1.80311786674757,2.1424242424242426,6,4,3
59,1.80311786674757,2.1424242424242426,6,4,3
60,1.80311786674757,2.1424242424242426,6,4,3
61,1.80311786674757,2.1424242424242426,6,4,3
62,1.80311786674757,2.1424242424242426,6,4,3
63,1.80311786674757,2.1424242424242426,6,4,3
64,1.80311786674757,2.1424242424242426,6,4,3
65,1.80311786674757,2.1424242424242426,6,4,3
66,1.80311786674757,2.1424242424242426,6,4,3
67,1.80311786674757,2.1424242424242426,6,4,3
68,1.80311786674757,2.1424242424242426,6,4,3
69,1.80311786674757,2.1424242424242426,6,4,3
70,1.80311786674757,2.1424242424242426,6,4,3
71,1.80311786674757,2.1424242424242426,6,4,3
72,1.80311786674757,2.1424242424242426,6,4,3
73,1.80311786674757,2.1424242424242426,6,4,3
74,1.80311786674757,2.1424242424242426,6,4,3
75,1.80311786674757,2.1424242424242426,6,4,3
76,1.80311786674757,2.1424242424242426,6,4,3
77,1.80311786674757,2.1424242424242426,6,4,3
78,1.80311786674757,2.1424242424242426,6,4,3
79,1.80311786674757,2.1424242424242426,6,4,3
80,1.80311786674757,2.1424242424242426,6,4,3
81,1.80311786674757,2.1424242424242426,6,4,3
82,1.80311786674757,2.1424242424242426,6,4,3
83,1.80311786674757,2.1424242424242426,6,4,3
84,1.80311786674757,2.1424242424242426,6,4,3
85,1.80311786674757,2.1424242424242426,6,4,3
86,1.80311786674757,2.1424242424242426,6,4,3
87,1.80311786674757,2.1424242424242426,6,4,3
88,1.80311786674757,2.1424242424242426,6,4,3
89,1.80311786674757,2.1424242424242426,6,4,3
90,1.80311786674757,2.1424242424242426,6,4,3
91,1.80311786674757,2.1424242424242426,6,4,3
92,1.80311786674757,2.1424242424242426,6,4,3
93,1.80311786674757,2.1424242424242426,6,4,3
94,1.80311786674757,2.1424242424242426,6,4,3
95,1.80311786674757,2.1424242424242426,6,4,3
96,1.80311786674757,2.1424242424242426,6,4,3
97,1.80311786674757,2.1424242424242426,6,4,3
98,1.80311786674757,2.1424242424242426,6,4,3
99,1.80311786674757,2.1424242424242426,6,4,3
100,1.80311786674757,2.1424242424242426,6,4,3
101,1.80311786674757,2.1424242424242426,6,4,3
