It No., Best MQ, No clusters, max clus, min clus
1,1.7607655502392343,3,7,6
2,2.18261810653115,5,4,4
3,1.7477467534856346,3,7,6
4,1.8095785440613026,3,7,6
5,1.8787878787878787,6,4,3
6,1.8498007368975111,4,5,5
7,1.9406110797415144,6,4,3
8,1.7270270270270272,3,7,6
9,2.1256487600881195,5,4,4
10,2.1256487600881195,5,4,4
11,1.9168350168350168,4,5,5
12,1.9168350168350168,4,5,5
13,1.7666069562621287,4,5,5
14,1.9168350168350168,4,5,5
15,1.7014678291579295,3,7,6
16,1.7548282470883088,3,7,6
17,1.7548282470883088,3,7,6
18,1.785166240409207,3,7,6
19,1.8665869218500797,7,3,2
20,1.7477467534856346,3,7,6
21,1.8564276303406737,5,4,4
22,1.9843553178847297,7,3,2
23,1.927856201769245,5,4,4
24,1.9168350168350168,4,5,5
25,2.18261810653115,5,4,4
26,1.8015323015323015,4,5,5
27,1.7666069562621287,4,5,5
28,1.7895622895622894,4,5,5
29,2.071665907192223,5,4,4
30,1.8458620689655172,5,4,4
31,1.8498007368975111,4,5,5
