No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.2892193509928123,1.3267903111381374,5,4,4
1,1.4084716880592565,1.4570303540025997,3,7,6
2,1.4084716880592565,1.4570303540025997,3,7,6
3,1.4594932573129438,1.5095238095238095,5,5,3
4,1.529351323495622,1.5833333333333333,5,5,3
5,1.649234932391733,1.7114121510673235,5,5,2
6,1.649234932391733,1.7114121510673235,5,5,2
7,1.649234932391733,1.7114121510673235,5,5,2
8,1.7711845528297527,1.8402597402597403,5,6,3
9,1.7711845528297527,1.8402597402597403,5,6,3
10,1.7711845528297527,1.8402597402597403,5,6,3
11,1.8901945964846438,1.9660014781966002,5,6,3
12,1.8901945964846438,1.9660014781966002,5,6,3
13,1.8901945964846438,1.9660014781966002,5,6,3
14,1.8901945964846438,1.9660014781966002,5,6,3
15,1.8901945964846438,1.9660014781966002,5,6,3
16,1.8901945964846438,1.9660014781966002,5,6,3
17,1.8901945964846438,1.9660014781966002,5,6,3
18,1.8901945964846438,1.9660014781966002,5,6,3
19,1.8901945964846438,1.9660014781966002,5,6,3
20,1.8901945964846438,1.9660014781966002,5,6,3
21,1.8901945964846438,1.9660014781966002,5,6,3
22,1.8901945964846438,1.9660014781966002,5,6,3
23,1.8901945964846438,1.9660014781966002,5,6,3
24,1.8901945964846438,1.9660014781966002,5,6,3
25,1.8901945964846438,1.9660014781966002,5,6,3
26,1.8901945964846438,1.9660014781966002,5,6,3
27,1.8909344840100308,1.9667832167832169,5,6,3
28,1.8909344840100308,1.9667832167832169,5,6,3
29,1.8909344840100308,1.9667832167832169,5,6,3
30,1.8909344840100308,1.9667832167832169,5,6,3
31,1.8909344840100308,1.9667832167832169,5,6,3
32,1.8909344840100308,1.9667832167832169,5,6,3
33,1.8909344840100308,1.9667832167832169,5,6,3
34,1.8909344840100308,1.9667832167832169,5,6,3
35,1.8909344840100308,1.9667832167832169,5,6,3
36,1.8909344840100308,1.9667832167832169,5,6,3
37,1.8909344840100308,1.9667832167832169,5,6,3
38,1.8909344840100308,1.9667832167832169,5,6,3
39,1.8909344840100308,1.9667832167832169,5,6,3
40,1.8909344840100308,1.9667832167832169,5,6,3
41,1.8909344840100308,1.9667832167832169,5,6,3
42,1.8909344840100308,1.9667832167832169,5,6,3
43,1.8909344840100308,1.9667832167832169,5,6,3
44,1.8909344840100308,1.9667832167832169,5,6,3
45,1.8909344840100308,1.9667832167832169,5,6,3
46,1.8909344840100308,1.9667832167832169,5,6,3
47,1.8909344840100308,1.9667832167832169,5,6,3
48,1.8909344840100308,1.9667832167832169,5,6,3
49,1.8909344840100308,1.9667832167832169,5,6,3
50,1.8909344840100308,1.9667832167832169,5,6,3
51,1.8909344840100308,1.9667832167832169,5,6,3
52,1.8909344840100308,1.9667832167832169,5,6,3
53,1.8909344840100308,1.9667832167832169,5,6,3
54,1.8909344840100308,1.9667832167832169,5,6,3
55,1.8909344840100308,1.9667832167832169,5,6,3
56,1.8909344840100308,1.9667832167832169,5,6,3
57,1.8909344840100308,1.9667832167832169,5,6,3
58,1.8909344840100308,1.9667832167832169,5,6,3
59,1.8909344840100308,1.9667832167832169,5,6,3
60,1.8909344840100308,1.9667832167832169,5,6,3
61,1.8909344840100308,1.9667832167832169,5,6,3
62,1.8909344840100308,1.9667832167832169,5,6,3
63,1.8909344840100308,1.9667832167832169,5,6,3
64,1.8909344840100308,1.9667832167832169,5,6,3
65,1.8909344840100308,1.9667832167832169,5,6,3
66,1.8909344840100308,1.9667832167832169,5,6,3
67,1.8909344840100308,1.9667832167832169,5,6,3
68,1.8909344840100308,1.9667832167832169,5,6,3
69,1.8909344840100308,1.9667832167832169,5,6,3
70,1.8909344840100308,1.9667832167832169,5,6,3
71,1.8909344840100308,1.9667832167832169,5,6,3
72,1.8909344840100308,1.9667832167832169,5,6,3
73,1.8909344840100308,1.9667832167832169,5,6,3
74,1.8909344840100308,1.9667832167832169,5,6,3
75,1.8909344840100308,1.9667832167832169,5,6,3
76,1.8909344840100308,1.9667832167832169,5,6,3
77,1.8909344840100308,1.9667832167832169,5,6,3
78,1.8909344840100308,1.9667832167832169,5,6,3
79,1.8909344840100308,1.9667832167832169,5,6,3
80,1.8909344840100308,1.9667832167832169,5,6,3
81,1.8909344840100308,1.9667832167832169,5,6,3
82,1.8909344840100308,1.9667832167832169,5,6,3
83,1.8909344840100308,1.9667832167832169,5,6,3
84,1.8909344840100308,1.9667832167832169,5,6,3
85,1.8909344840100308,1.9667832167832169,5,6,3
86,1.8909344840100308,1.9667832167832169,5,6,3
87,1.8909344840100308,1.9667832167832169,5,6,3
88,1.8909344840100308,1.9667832167832169,5,6,3
89,1.8909344840100308,1.9667832167832169,5,6,3
90,1.8909344840100308,1.9667832167832169,5,6,3
91,1.8909344840100308,1.9667832167832169,5,6,3
92,1.8909344840100308,1.9667832167832169,5,6,3
93,1.8909344840100308,1.9667832167832169,5,6,3
94,1.8909344840100308,1.9667832167832169,5,6,3
95,1.8909344840100308,1.9667832167832169,5,6,3
96,1.8909344840100308,1.9667832167832169,5,6,3
