,mq,No. Clus,Max clus,Min clus
0,2.2311284197473453,5,5,3
1,2.1122440622440624,5,6,3
2,2.1122440622440624,5,6,3
3,2.1122440622440624,5,6,3
4,2.0581900081900084,5,6,3
5,2.0581900081900084,5,6,3
6,2.0581900081900084,5,6,3
7,2.0205466576434317,5,5,3
8,2.0040466779597215,5,5,3
9,1.9978840125391848,5,5,3
10,1.9667821406951842,5,5,3
11,1.94896331738437,5,4,4
12,1.9474249888042992,5,5,3
13,1.9108537273966753,5,6,3
14,1.8915470494417863,5,5,3
15,1.8501429907056042,5,6,3
16,1.8275058275058276,5,4,4
17,1.8040510366826157,5,5,3
18,1.8018037518037517,5,6,3
19,1.7839712918660287,5,5,3
20,1.7621212121212122,5,5,3
21,1.7621212121212122,5,5,3
22,1.7621212121212122,5,5,3
23,1.7621212121212122,5,5,3
24,1.7540466779597215,5,5,3
25,1.7552261747913922,5,6,3
26,1.7522948066426327,5,6,3
27,1.7399114295666018,5,5,3
28,1.7325119325119325,5,4,4
29,1.7063391098066019,5,5,3
30,1.702348916106032,5,6,3
31,1.6915233415233415,5,6,3
32,1.6841100076394193,5,5,3
33,1.6785598302626166,5,5,3
34,1.6524915824915825,5,5,2
35,1.6427139037433156,5,5,3
36,1.5689588189588188,5,5,3
37,1.4579545454545453,5,6,3
38,1.435137085137085,5,6,3
39,1.4080237591865499,5,6,3
