No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.2138889692793022,1.2514412416851441,3,7,6
1,1.2915317525611578,1.3292335115864529,8,4,1
2,1.2915317525611578,1.3292335115864529,8,4,1
3,1.5834838897582995,1.6362855522903983,7,3,2
4,1.5834838897582995,1.6362855522903983,7,3,2
5,1.5834838897582995,1.6362855522903983,7,3,2
6,1.5834838897582995,1.6362855522903983,7,3,2
7,1.6688601474496203,1.7293192441933862,6,4,2
8,1.6688601474496203,1.7293192441933862,6,4,2
9,1.7197154796024336,1.7872934681118826,5,6,2
10,1.7197154796024336,1.7872934681118826,5,6,2
11,1.7197154796024336,1.7872934681118826,5,6,2
12,1.7197154796024336,1.7872934681118826,5,6,2
13,1.7320859457290572,1.806020066889632,4,9,2
14,1.7320859457290572,1.806020066889632,4,9,2
15,1.7501552935048286,1.815212775838962,6,4,2
16,1.7501552935048286,1.815212775838962,6,4,2
17,1.7501552935048286,1.815212775838962,6,4,2
18,1.7501552935048286,1.815212775838962,6,4,2
19,1.7501552935048286,1.815212775838962,6,4,2
20,1.7501552935048286,1.815212775838962,6,4,2
21,1.7501552935048286,1.815212775838962,6,4,2
22,1.7501552935048286,1.815212775838962,6,4,2
23,1.8288113688185483,1.9025602665308545,5,6,2
24,1.8288113688185483,1.9025602665308545,5,6,2
25,1.8288113688185483,1.9025602665308545,5,6,2
26,1.8288113688185483,1.9025602665308545,5,6,2
27,1.8288113688185483,1.9025602665308545,5,6,2
28,1.8288113688185483,1.9025602665308545,5,6,2
29,1.8288113688185483,1.9025602665308545,5,6,2
30,1.892479915022915,1.9641737572772056,5,4,4
31,1.892479915022915,1.9641737572772056,5,4,4
32,1.892479915022915,1.9641737572772056,5,4,4
33,1.892479915022915,1.9641737572772056,5,4,4
34,1.892479915022915,1.9641737572772056,5,4,4
35,1.892479915022915,1.9641737572772056,5,4,4
36,1.892479915022915,1.9641737572772056,5,4,4
37,1.892479915022915,1.9641737572772056,5,4,4
38,1.9806766949087211,2.0573593073593073,5,4,4
39,1.9806766949087211,2.0573593073593073,5,4,4
40,1.9806766949087211,2.0573593073593073,5,4,4
41,1.9806766949087211,2.0573593073593073,5,4,4
42,1.9806766949087211,2.0573593073593073,5,4,4
43,1.9806766949087211,2.0573593073593073,5,4,4
