0: [[1, 3], [5, 4], [8, 7, 10, 2], [13, 12, 9, 11], [15, 6, 16, 14], [18, 19, 20, 17]]
1: [[1, 3], [5, 4], [8, 2, 7, 14], [13, 12, 9, 11], [6, 10, 16, 15], [18, 19, 20, 17]]
2: [[1, 3, 2], [10], [8, 7, 5, 4], [13, 9, 11, 12], [15, 6, 16, 14], [18, 19, 20, 17]]
3: [[1, 3, 5, 4], [8, 7, 10, 6], [13, 12, 9, 11], [2, 15, 16, 14], [18, 19, 20, 17]]
4: [[1, 3, 7], [4, 5, 15], [8, 2], [13, 12], [9, 11], [10, 6, 16, 14], [18, 19, 20, 17]]
5: [[1, 3], [5, 2], [8, 7, 6, 4], [13, 9, 10, 11], [15, 12, 16, 14], [18, 19, 20, 17]]
6: [[1], [4, 6, 14, 3], [2, 5], [9, 13, 10, 7], [8, 11, 12], [15, 20, 18, 19, 16, 17]]
7: [[1, 3], [5, 4], [10, 2, 6, 7], [13, 12, 9, 11, 15], [8, 16, 14, 18, 19, 20, 17]]
8: [[1, 3], [7, 4, 2, 10], [5, 6], [13, 12, 9, 11], [8, 14, 16], [15, 18, 19, 20, 17]]
9: [[1, 3], [5, 4], [10, 9, 6, 2], [13, 7, 8, 11], [15, 12, 16, 14], [18, 19, 20, 17]]
10: [[1, 3], [5, 4], [10, 2], [6, 8], [13, 12, 9, 11], [14, 7, 16, 15, 18], [19, 20, 17]]
11: [[1, 2], [3, 4], [5, 10, 8, 9, 7], [14, 12], [11, 15, 6, 16, 13], [18, 19, 20, 17]]
12: [[1], [13, 5, 4], [2, 9, 7, 8, 12, 3, 11, 10], [15, 6, 16, 14, 18, 19, 20, 17]]
13: [[1], [13, 9, 8, 4], [10, 14, 12, 2, 5, 7], [11, 3], [6, 16], [15, 18], [19, 17, 20]]
14: [[1, 3, 11], [4, 5, 2], [6, 10], [13, 8], [15, 7], [12, 14, 9, 16], [18, 19, 20, 17]]
15: [[1], [3, 5, 2, 6], [7, 8, 10, 11], [4], [9, 14, 13, 12], [16], [15, 18, 19, 20, 17]]
16: [[1, 3], [5, 7], [4, 2, 11, 10], [13, 8, 6, 9], [12, 14, 20, 18], [16, 19, 15, 17]]
17: [[1, 5], [8, 10, 2], [6, 3, 14, 12], [11, 4, 7, 9, 13], [16, 15, 18, 19, 20], [17]]
18: [[1, 3, 2], [12, 4], [7, 5, 8, 13, 10], [9], [14, 11], [15, 16, 6, 18], [19, 20, 17]]
19: [[1, 3, 4], [2, 6, 7, 13], [5, 9, 8], [10, 12, 15, 14, 11], [16, 18, 19, 20, 17]]
20: [[1], [2, 3], [10, 4, 7, 5, 8], [13, 6, 9, 14], [15, 12, 16, 11, 18, 19, 20, 17]]
21: [[1, 3], [8, 6, 4], [7, 2, 5], [9, 11], [13, 10], [15, 12], [16, 14, 18, 19], [20, 17]]
22: [[1, 3], [13, 6, 5, 10, 12, 11, 9, 2, 4, 7, 15, 8, 16, 14, 18, 19], [20, 17]]
23: [[1], [2, 3], [8, 4, 7, 5], [9, 13, 10, 11], [14, 15, 6, 16], [12, 18, 19, 20], [17]]
24: [[1, 3, 5], [4, 13, 2], [10, 7, 8, 12], [9, 11, 15, 6], [16, 14, 18, 19, 20, 17]]
25: [[1, 2, 3], [12], [4, 7, 9, 5, 8], [14, 10], [11, 15, 6, 16], [13, 18, 19, 20, 17]]
26: [[1, 5], [2, 4, 8, 7], [3, 10, 14, 12], [11, 9], [15, 6, 16, 13], [18, 19, 20, 17]]
27: [[1, 3, 6], [4, 10, 2], [11, 5, 13, 7], [8, 9, 14, 12], [16, 15, 18, 19], [20, 17]]
28: [[1, 4], [3, 8], [6, 7, 2, 11], [12, 9, 5, 10, 13, 14, 16, 18, 20, 19, 15, 17]]
29: [[1], [13, 5, 4], [2, 7, 11, 8], [12, 9, 3, 10, 15, 6, 16, 14, 18, 19, 20, 17]]
30: [[1, 4, 6, 3], [10, 2, 5, 12], [13, 7, 8], [9, 11, 14, 18, 15, 20, 19, 16, 17]]
31: [[1], [7], [11, 3, 10, 13], [12, 9, 6, 8, 2, 5], [14], [15, 16], [18, 19], [20, 17, 4]]
32: [[1, 5, 9, 6], [4, 7, 2, 8, 3, 12, 10], [11, 13, 14, 16, 15, 18, 19, 20, 17]]
33: [[1], [14, 7, 5], [12, 9, 8, 6, 3], [10, 2, 15, 11, 13, 16, 18, 19, 20, 17, 4]]
34: [[1], [5], [2, 13, 8], [15, 10, 9, 12, 7], [14, 6, 20, 19, 4], [18, 11, 16, 17, 3]]
35: [[1, 5], [4, 3], [9, 7, 8, 6, 13], [10, 11, 12, 15, 2, 16, 14, 18, 19, 20, 17]]
36: [[1, 3, 7], [5, 4, 10], [8, 2, 12], [14, 9], [11], [15, 6], [16, 13, 18], [19, 20, 17]]
37: [[1, 10], [6, 4, 12, 2, 7, 15, 9, 3, 5], [8, 11, 13, 16, 14, 18, 19, 20, 17]]
38: [[1, 3, 7], [4, 2, 14], [9, 8, 15], [12, 10, 11, 13], [5, 20, 6, 18], [19, 16, 17]]
39: [[1], [7], [11, 3, 2], [14, 12, 4], [5, 8, 6], [9, 15, 10, 16], [13, 19, 18, 20], [17]]
