,mq,No. Clus,Max clus,Min clus
0,2.0493882928665537,5,7,2
1,1.8975690975690975,6,4,2
2,1.8884575569358177,5,7,2
3,1.842659095290674,7,4,2
4,1.870600414078675,4,7,4
5,1.8325067089772973,5,6,3
6,1.833319712324289,4,7,3
7,1.8169255581020285,6,4,2
8,1.7991190096453251,6,4,2
9,1.7878055921534182,6,4,2
10,1.7878055921534182,6,4,2
11,1.7793169793169794,6,4,2
12,1.7601702645180906,7,4,2
13,1.7278980278980278,4,7,4
14,1.7187812187812188,5,5,3
15,1.7187812187812188,5,5,3
16,1.722222222222222,4,6,4
17,1.700814536340852,7,4,2
18,1.7074829931972788,3,8,4
19,1.7074829931972788,3,8,4
20,1.7074829931972788,3,8,4
21,1.7063492063492063,5,5,3
22,1.6884653494200617,3,10,4
23,1.6779183460217943,5,4,4
24,1.6876503126503126,5,5,3
25,1.6779183460217943,5,4,4
26,1.6728354978354978,5,5,2
27,1.6633699633699635,5,5,3
28,1.6361314292348774,6,4,2
29,1.6361314292348774,6,4,2
30,1.60603371783496,4,8,1
31,1.5388712165027953,7,4,2
32,1.5090721795964763,7,4,2
33,1.5293040293040292,4,7,4
34,1.4976927834070692,5,8,1
35,1.470899470899471,4,9,3
36,1.3446969696969697,5,8,2
37,1.3678955453149002,4,11,2
38,1.3415831244778613,7,3,2
39,1.2395974672094074,4,12,2
