0: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
1: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
2: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
3: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
4: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
5: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
6: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
7: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
8: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
9: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
10: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
11: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
12: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
13: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
14: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
15: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
16: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
17: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
18: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
19: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
20: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
21: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
22: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
23: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
24: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
25: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
26: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
27: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
28: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
29: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
30: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
31: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
32: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
33: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
34: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
35: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
36: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
37: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
38: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
39: [[15, 19, 18], [12, 17, 11], [2, 10, 5], [3, 9, 8, 7], [1, 20, 13, 4], [6, 16, 14]]
