,mq,No. Clus,Max clus,Min clus
0,2.140178674618034,6,4,2
1,2.140178674618034,6,4,2
2,2.140178674618034,6,4,2
3,2.09511810653115,6,4,2
4,1.9819036163429757,6,5,2
5,1.9316455430585866,5,7,2
6,1.9158910533910531,6,4,2
7,1.9124136097820308,5,7,2
8,1.911390795830155,7,4,1
9,1.8398078529657476,7,4,2
10,1.8398078529657476,7,4,2
11,1.8456132756132755,6,4,2
12,1.8018759018759019,7,4,1
13,1.7736601054678858,6,4,3
14,1.7932748538011696,5,8,2
15,1.7574314574314576,6,4,3
16,1.7731859470989906,5,7,3
17,1.7731859470989906,5,7,3
18,1.7574314574314576,6,4,3
19,1.7469169246646026,6,4,2
20,1.736139591402749,7,4,1
21,1.7184628237259816,7,3,2
22,1.7159477124183007,4,8,3
23,1.6922994422994422,4,8,2
24,1.6527228809837506,4,9,2
25,1.616089466089466,7,4,2
26,1.5867889420521,7,3,2
27,1.5941729259807063,7,4,1
28,1.5978743961352657,3,9,3
29,1.5826118326118326,7,3,2
30,1.582506992117976,7,4,2
31,1.5184233876617008,3,9,3
32,1.4895118230358504,6,9,2
33,1.448088023088023,7,3,2
34,1.4487878787878787,7,4,1
35,1.4526169026169027,6,7,2
36,1.441003441003441,7,4,2
37,1.4136633376754957,3,9,3
38,1.3695750609543713,7,6,2
39,1.3035936285936287,8,3,2
