,mq,No. Clus,Max clus,Min clus
0,1.948979081902533,12,5,1
1,1.948979081902533,12,5,1
2,1.8263984367412427,13,5,1
3,1.672932923030122,14,3,2
4,1.672932923030122,14,3,2
5,1.6580850027299265,13,4,2
6,1.6290720613010607,12,4,2
7,1.6058862380804508,12,4,2
8,1.604851713276826,13,4,2
9,1.604584557795627,12,4,3
10,1.6021268395842103,12,4,3
11,1.593381102301831,13,3,2
12,1.555385803333715,12,4,2
13,1.5467038156467592,13,3,2
14,1.5467038156467592,13,3,2
15,1.5347268910160408,14,3,1
16,1.5267189874242828,12,5,2
17,1.5267189874242828,12,5,2
18,1.5143888581070666,13,4,1
19,1.503019523995656,14,3,2
20,1.4934222159255308,12,4,3
21,1.4816480947439787,9,14,2
22,1.4783699499171823,14,3,2
23,1.4759623325610798,12,6,2
24,1.462405394634394,12,4,2
25,1.429707608047086,13,4,2
26,1.4241925483713598,14,3,2
27,1.420694943198258,14,3,1
28,1.420694943198258,12,4,3
29,1.4205111826637853,13,4,2
30,1.4130701101562235,12,4,1
31,1.4101120069634707,13,4,2
32,1.4095621179751456,9,12,3
33,1.4068976944185294,11,7,2
34,1.3677232032167577,13,3,2
35,1.395299139979991,4,18,2
36,1.395173040963757,9,18,1
37,1.387294474353873,8,15,3
38,1.3747135344261519,10,9,3
39,1.3552710670940227,12,4,2
40,1.3885649356784644,8,16,2
41,1.3887087886208973,7,19,2
42,1.3543988867614363,13,3,2
43,1.3447351288826863,9,13,2
44,1.3427718801715773,14,4,2
45,1.3536930518186447,8,18,2
46,1.341959407381684,14,3,2
47,1.3291888027278227,13,3,2
48,1.3369211281412772,8,17,2
49,1.3401431841021032,6,21,3
50,1.3278939736928363,13,5,1
51,1.3313974468197234,7,21,2
52,1.317665790069113,13,4,2
53,1.3167828195611304,9,15,1
54,1.2994493251846193,14,4,2
55,1.3085928618575857,7,15,1
56,1.2962185805139965,14,3,1
57,1.301780796076212,7,22,1
58,1.2838973912852345,13,4,2
59,1.2959832755459098,5,25,2
60,1.2951061999442648,3,20,2
61,1.2796376898806834,10,10,2
62,1.2453191022281493,10,14,1
63,1.253002168880407,6,19,3
64,1.2284348125214999,13,3,2
65,1.199245452456522,14,3,2
66,1.246273413749142,7,18,2
67,1.1981939789119007,6,19,2
68,1.2034366451544365,3,33,2
69,1.1343790849673203,6,22,2
70,1.0800330816878767,14,3,1
71,1.1288103541811982,5,26,2
72,1.0841897397567628,10,11,2
73,1.0831105126373823,8,15,2
