,mq,No. Clus,Max clus,Min clus
0,1.9005893031699486,11,5,2
1,1.685037389957561,11,5,2
2,1.5600121025927476,12,5,2
3,1.500975263314789,9,7,3
4,1.4705907817672523,13,4,2
5,1.4422811970638056,13,4,2
6,1.4418897726314606,13,4,2
7,1.4355897569670883,13,4,2
8,1.435503238516937,11,4,2
9,1.4055315055315054,12,7,2
10,1.391162259234939,11,5,2
11,1.3788317618454602,12,4,2
12,1.355581652390163,12,4,2
13,1.3509191267856224,12,4,3
14,1.353210716224415,7,16,2
15,1.3402338770759823,13,4,2
16,1.3356245662736705,14,3,2
17,1.3321200387282222,13,4,2
18,1.33814762255667,10,5,2
19,1.3265724471606823,12,4,2
20,1.3084008990265739,12,4,2
21,1.2894707196715804,13,4,2
22,1.2837456660986073,12,4,2
23,1.2635787775530423,10,7,2
24,1.280510302825349,7,14,3
25,1.2424486914350639,10,8,2
26,1.2128897109082866,12,4,2
27,1.2203076923076923,4,26,3
28,1.1996975627112614,11,4,2
29,1.2019336219336219,11,5,2
30,1.1876845376845377,13,4,2
31,1.179952655450076,8,12,2
32,1.1611968423733128,14,3,2
33,1.1620251378916333,13,4,2
34,1.1464143258282504,13,4,2
35,1.1241842448739,13,8,2
36,1.1294277617562722,6,19,3
37,1.1297539858515468,3,17,3
38,1.1297539858515468,3,17,3
39,1.1158303507060525,11,8,2
40,1.1073357994728361,11,6,2
41,1.107872302479044,4,19,2
42,1.1080586080586081,6,23,2
43,1.087223097268864,14,3,2
44,1.1002871002871002,4,27,2
45,1.0935320327807174,10,10,2
46,1.0807486631016043,13,4,2
47,1.0781566671810574,13,4,2
48,1.079239170415641,12,7,2
49,1.0683331573575474,14,3,2
50,1.071592605679634,11,5,2
51,1.0757062190784352,12,10,2
52,1.0676157176157177,13,4,2
53,1.0713174595828365,12,6,2
54,1.0529276912080203,4,19,3
55,1.0512384560210646,11,11,2
56,1.036515744529443,12,4,2
57,1.0480190987218576,9,14,2
58,1.025876168182292,14,3,2
59,1.0394347790574205,4,23,2
60,1.00726874985403,13,4,2
61,1.031249541419033,8,22,1
62,1.0056018424439475,14,3,2
63,1.007009207009207,12,4,2
64,1.0087294101247588,6,19,2
65,0.9927234927234928,15,3,2
66,0.9926025165711717,13,4,2
67,0.9657750026171079,12,5,2
68,0.9884277596960944,9,15,2
69,0.9625972047342416,10,11,2
70,0.9362367367341574,11,5,2
71,0.957983193277311,3,31,3
72,0.9349087125555466,6,20,2
73,0.8976439489659804,11,4,2
