0: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8], [33], [5, 19, 12, 11], [24, 18], [27, 29, 13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
1: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8], [33], [5, 19, 12, 11], [24, 18], [27, 29, 13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
2: [[20, 6], [3, 22, 17], [4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
3: [[20], [6, 3, 22], [17, 4, 9, 2], [7, 1], [35, 10], [37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
4: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
5: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15], [14, 8], [33, 5, 19, 12], [11, 24, 18], [27, 29, 13, 16], [34, 36, 21, 23], [25, 26, 28], [31, 30, 32]]
6: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
7: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
8: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8], [33], [5, 19, 12], [11, 24, 18, 27, 29, 13, 16, 34, 36], [21, 23, 25, 26, 28, 31, 30, 32]]
9: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5, 19, 12], [11, 24, 18, 27], [29, 13], [16], [34], [36, 21, 23], [25, 26, 28, 31], [30, 32]]
10: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
11: [[20, 6, 3], [22, 17, 4], [9, 2], [7], [1, 35, 10], [37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
12: [[20, 6, 3, 22], [17, 4], [9, 2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23, 25, 26, 28, 31, 30, 32]]
13: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
14: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
15: [[20, 6], [3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
16: [[20, 6], [3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
17: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10, 37], [15, 14, 8], [33, 5, 19, 12], [11, 24, 18, 27], [29, 13], [16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
18: [[20, 6, 3, 22], [17, 4], [9, 2], [7], [1, 35, 10], [37, 15], [14, 8, 33], [5, 19, 12], [11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
19: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
20: [[20, 6], [3, 22, 17, 4], [9, 2, 7], [1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
21: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
22: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35, 10, 37, 15, 14], [8, 33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16, 34, 36, 21, 23], [25, 26, 28, 31, 30, 32]]
23: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15], [14, 8], [33, 5, 19], [12, 11, 24, 18], [27, 29, 13], [16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
24: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24], [18, 27], [29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
25: [[20, 6, 3, 22], [17, 4], [9, 2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
26: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
27: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
28: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
29: [[20, 6], [3, 22], [17], [4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8, 33], [5, 19, 12, 11], [24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26, 28], [31, 30, 32]]
30: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
31: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10], [37, 15, 14], [8, 33, 5], [19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23, 25, 26, 28, 31, 30, 32]]
32: [[20, 6], [3, 22, 17], [4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
33: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
34: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5], [19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23], [25, 26, 28], [31, 30, 32]]
35: [[20, 6], [3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
36: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12, 11], [24, 18, 27], [29, 13, 16, 34], [36], [21, 23, 25, 26], [28, 31], [30, 32]]
37: [[20, 6], [3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26, 28, 31, 30, 32]]
38: [[20, 6], [3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26, 28, 31, 30, 32]]
39: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23], [25, 26, 28, 31, 30, 32]]
40: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23, 25, 26, 28, 31, 30, 32]]
41: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5, 19], [12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
42: [[20, 6, 3, 22, 17, 4, 9, 2, 7], [1, 35, 10, 37, 15, 14, 8, 33], [5, 19, 12], [11, 24, 18, 27, 29, 13, 16, 34, 36], [21, 23, 25, 26, 28, 31, 30, 32]]
43: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15], [14, 8], [33, 5, 19], [12, 11, 24, 18], [27], [29, 13, 16, 34], [36, 21, 23, 25, 26, 28, 31, 30, 32]]
44: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5], [19, 12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
45: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
46: [[20, 6], [3, 22], [17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
47: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36], [21, 23, 25], [26, 28, 31, 30, 32]]
48: [[20, 6], [3, 22], [17], [4, 9], [2, 7, 1], [35, 10, 37], [15], [14, 8, 33], [5, 19, 12], [11, 24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26, 28, 31, 30, 32]]
49: [[20, 6], [3, 22], [17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33], [5, 19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
50: [[20, 6, 3, 22], [17, 4, 9], [2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5], [19, 12], [11, 24, 18], [27, 29, 13], [16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
51: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23], [25, 26, 28, 31, 30, 32]]
52: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37], [15, 14, 8], [33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28], [31, 30, 32]]
53: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33], [5, 19, 12], [11, 24, 18], [27, 29], [13, 16, 34], [36, 21], [23, 25, 26], [28, 31, 30, 32]]
54: [[20], [6, 3], [22, 17, 4], [9, 2, 7, 1], [35, 10, 37], [15, 14, 8], [33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21], [23, 25, 26, 28, 31, 30, 32]]
