0: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
1: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
2: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
3: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
4: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
5: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
6: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
7: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
8: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
9: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
10: [[17, 5, 9, 1, 12, 4], [2, 3, 35, 7, 20, 11], [14, 6, 10, 8, 15, 29], [13, 18, 24, 22, 16, 19], [21, 27, 25, 26, 31, 28], [23, 30, 33, 32, 34, 36, 37]]
