No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.0082601019833872,1.1002808404410236,4,10,9
1,1.0082601019833872,1.1002808404410236,4,10,9
2,1.0440307644434876,1.1430891447832447,4,10,9
3,1.0440307644434876,1.1430891447832447,4,10,9
4,1.0440307644434876,1.1430891447832447,4,10,9
5,1.1251622329777071,1.2534761677950532,6,10,2
6,1.1251622329777071,1.2534761677950532,6,10,2
7,1.1251622329777071,1.2534761677950532,6,10,2
8,1.1251622329777071,1.2534761677950532,6,10,2
9,1.1251622329777071,1.2534761677950532,6,10,2
10,1.1251622329777071,1.2534761677950532,6,10,2
11,1.1251622329777071,1.2534761677950532,6,10,2
12,1.1251622329777071,1.2534761677950532,6,10,2
13,1.1251622329777071,1.2534761677950532,6,10,2
14,1.1251622329777071,1.2534761677950532,6,10,2
15,1.1251622329777071,1.2534761677950532,6,10,2
16,1.1251622329777071,1.2534761677950532,6,10,2
17,1.1251622329777071,1.2534761677950532,6,10,2
18,1.1251622329777071,1.2534761677950532,6,10,2
19,1.1251622329777071,1.2534761677950532,6,10,2
20,1.1251622329777071,1.2534761677950532,6,10,2
21,1.1251622329777071,1.2534761677950532,6,10,2
22,1.1251622329777071,1.2534761677950532,6,10,2
23,1.1251622329777071,1.2534761677950532,6,10,2
24,1.1251622329777071,1.2534761677950532,6,10,2
25,1.1251622329777071,1.2534761677950532,6,10,2
26,1.1251622329777071,1.2534761677950532,6,10,2
27,1.1251622329777071,1.2534761677950532,6,10,2
28,1.1251622329777071,1.2534761677950532,6,10,2
29,1.1251622329777071,1.2534761677950532,6,10,2
30,1.1251622329777071,1.2534761677950532,6,10,2
31,1.1251622329777071,1.2534761677950532,6,10,2
32,1.1251622329777071,1.2534761677950532,6,10,2
33,1.1251622329777071,1.2534761677950532,6,10,2
34,1.1251622329777071,1.2534761677950532,6,10,2
35,1.1251622329777071,1.2534761677950532,6,10,2
36,1.1251622329777071,1.2534761677950532,6,10,2
37,1.1251622329777071,1.2534761677950532,6,10,2
38,1.1251622329777071,1.2534761677950532,6,10,2
39,1.1251622329777071,1.2534761677950532,6,10,2
40,1.1251622329777071,1.2534761677950532,6,10,2
41,1.1251622329777071,1.2534761677950532,6,10,2
42,1.1251622329777071,1.2534761677950532,6,10,2
43,1.1251622329777071,1.2534761677950532,6,10,2
44,1.1251622329777071,1.2534761677950532,6,10,2
45,1.1251622329777071,1.2534761677950532,6,10,2
46,1.1251622329777071,1.2534761677950532,6,10,2
47,1.147161903742716,1.2691693500908547,8,8,2
48,1.147161903742716,1.2691693500908547,8,8,2
49,1.147161903742716,1.2691693500908547,8,8,2
50,1.147161903742716,1.2691693500908547,8,8,2
51,1.1593380481094455,1.286399765186761,7,8,2
52,1.1593380481094455,1.286399765186761,7,8,2
53,1.1593380481094455,1.286399765186761,7,8,2
54,1.1593380481094455,1.286399765186761,7,8,2
55,1.1593380481094455,1.286399765186761,7,8,2
56,1.1593380481094455,1.286399765186761,7,8,2
57,1.1593380481094455,1.286399765186761,7,8,2
58,1.1593380481094455,1.286399765186761,7,8,2
59,1.1593380481094455,1.286399765186761,7,8,2
60,1.1593380481094455,1.286399765186761,7,8,2
61,1.1593380481094455,1.286399765186761,7,8,2
62,1.1593380481094455,1.286399765186761,7,8,2
63,1.1593380481094455,1.286399765186761,7,8,2
64,1.1890191250920112,1.3272377875649766,5,11,5
65,1.1890191250920112,1.3272377875649766,5,11,5
66,1.1890191250920112,1.3272377875649766,5,11,5
67,1.1890191250920112,1.3272377875649766,5,11,5
68,1.1890191250920112,1.3272377875649766,5,11,5
69,1.1890191250920112,1.3272377875649766,5,11,5
