,mq,No. Clus,Max clus,Min clus
0,1.886313686313686,9,8,3
1,1.886313686313686,9,8,3
2,1.7838183643955008,10,4,3
3,1.6995891114535182,10,4,3
4,1.6672210142798378,10,4,3
5,1.6672210142798378,10,4,3
6,1.6672210142798378,10,4,3
7,1.6672210142798378,10,4,3
8,1.6672210142798378,10,4,3
9,1.6672210142798378,10,4,3
10,1.6513462801388497,10,4,3
11,1.6507228896062396,10,4,3
12,1.6421429074968457,10,4,3
13,1.6171522622824457,10,5,3
14,1.5931664208312415,10,4,3
15,1.591010949834479,10,4,3
16,1.5777577583348945,10,4,3
17,1.5707214878490523,10,4,3
18,1.5668123709189192,10,4,3
19,1.5668123709189192,10,4,3
20,1.5615706733353794,11,4,2
21,1.550937636777931,10,4,3
22,1.5338051533335246,8,8,3
23,1.5219880808116102,10,4,2
24,1.5129463792378013,11,4,2
25,1.509283091636033,11,4,3
26,1.481569271578192,11,4,2
27,1.472582541394972,10,5,3
28,1.4704877166177475,12,4,2
29,1.4482423101067168,10,4,3
30,1.443727166128829,11,4,2
31,1.3958832825760645,10,5,3
32,1.3888138988028,10,4,3
33,1.383939673544771,10,4,3
34,1.3734430240968867,10,7,3
35,1.3729391646618119,11,4,2
36,1.3734430240968867,10,7,3
37,1.3617823359078594,10,5,3
38,1.339928698752228,11,4,3
39,1.323794924457457,7,15,3
40,1.3230616597544418,10,4,3
41,1.3160866260755273,10,5,3
42,1.308999373705256,10,4,3
43,1.3081666081666081,10,4,3
44,1.2942719045660223,10,5,2
45,1.290551361787653,10,4,3
46,1.2932353915961337,9,7,2
47,1.2815762668703843,6,19,3
48,1.2549453196512022,10,4,3
49,1.2776462611331498,6,18,3
50,1.2638861227241287,7,15,3
51,1.2611481364595516,6,18,3
52,1.223468370399007,12,4,2
53,1.2611481364595516,6,18,3
54,1.2245382898922281,4,26,3
55,1.2245382898922281,4,26,3
56,1.2135464475935114,7,12,3
57,1.1964787829382724,10,5,3
58,1.1840776611963053,5,22,3
59,1.1750257842694818,11,4,2
60,1.1784814056000497,5,24,2
61,1.1146566136335958,11,4,2
62,1.0803710739004857,9,8,3
63,1.0923036322025454,4,25,4
64,1.085434173669468,3,26,3
65,1.0478787878787879,10,6,2
66,1.044121917735889,3,19,4
67,1.0171181313596174,7,16,3
68,0.9819560148569955,3,15,11
69,0.9995646907411614,6,19,3
70,0.965392640616175,8,12,3
71,0.9938130592042642,5,23,3
72,0.9378766499667588,3,17,4
73,0.9029396398057656,10,8,1
