0: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
1: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
2: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
3: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
4: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
5: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
6: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
7: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
8: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
9: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
10: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
11: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
12: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
13: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
14: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
15: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
16: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
17: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
18: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
19: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
20: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
21: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
22: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
23: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
24: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
25: [[6, 11, 3, 9, 5], [4, 2, 10, 1], [13, 7, 12, 8]]
