0: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
1: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
2: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
3: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
4: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
5: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
6: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
7: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
8: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
9: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
10: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
11: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
12: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
13: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
14: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
15: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
16: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
17: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
18: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
19: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
20: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
21: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
22: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
23: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
24: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
25: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
26: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
27: [[10, 6, 4, 9], [5, 3, 2, 1, 12], [7, 8, 13, 11]]
