0: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
1: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
2: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
3: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
4: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
5: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
6: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
7: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
8: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
9: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
10: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
11: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
12: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
13: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
14: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
15: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
16: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
17: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
18: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
19: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
20: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
21: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
22: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
23: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
24: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
25: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
26: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
27: [[3, 2, 12, 1, 5], [13, 11, 7, 8], [4, 6, 9, 10]]
