0: [[11, 6, 4, 9, 8], [3, 1, 5, 10, 12, 2], [7, 13]]
1: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
2: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
3: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
4: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
5: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
6: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
7: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
8: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
9: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
10: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
11: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
12: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
13: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
14: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
15: [[11, 6, 4, 9, 8], [3, 2, 1, 5, 10, 12], [7, 13]]
16: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
17: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
18: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
19: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
20: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
21: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
22: [[11, 6, 4, 9, 8, 3], [2, 1, 5, 10, 12], [7, 13]]
23: [[11, 6, 4, 9], [8, 3, 2, 1, 5, 10, 12], [7, 13]]
24: [[11, 6, 4, 9], [8, 3, 2, 1, 5, 10, 12], [7, 13]]
25: [[11, 6, 4, 9], [8, 3, 2, 1, 5, 10, 12], [7, 13]]
26: [[11, 6, 4, 9], [8, 3, 2, 1, 5, 10, 12], [7, 13]]
27: [[11, 6, 4, 9], [8, 3, 2, 1, 5, 10, 12], [7, 13]]
