0: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [7, 12, 13, 2]]
1: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [13, 7, 12, 2]]
2: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [7, 13, 12, 2]]
3: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [13, 12, 7, 2]]
4: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [7, 12, 13, 2]]
5: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [7, 12, 13, 2]]
6: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [12, 13, 2, 7]]
7: [[5, 1, 3], [10, 8, 4], [11, 9, 6], [13, 12, 2, 7]]
8: [[5, 1, 3], [10, 4, 8], [11, 9, 6, 2], [12, 13, 7]]
9: [[5, 1, 3], [10, 4, 8, 11, 9, 6, 2], [7, 13, 12]]
10: [[5, 1, 3], [10, 4], [8, 11], [9, 6], [12, 13, 2, 7]]
11: [[5, 1, 3], [10, 4], [8, 11], [9, 6], [12, 13, 2, 7]]
12: [[5, 1, 3], [10, 4], [8, 11, 9, 6], [13, 2, 7], [12]]
13: [[5, 1, 3], [10, 4], [8, 11, 9], [6, 2], [12, 13, 7]]
14: [[5, 1, 3], [10, 4], [8, 11, 9], [6, 2], [12, 13, 7]]
15: [[5, 1, 3, 10], [4, 8, 11, 9, 6, 2], [7, 13, 12]]
16: [[5, 1, 3], [10, 8, 11, 4], [9, 6], [12, 13, 2, 7]]
17: [[5, 1, 3, 10], [8, 4], [11, 9, 6], [12, 13, 2, 7]]
18: [[5, 1, 3, 10], [8, 11, 4], [9, 6], [13, 12, 2, 7]]
19: [[5, 1, 3, 10], [8, 11, 4], [9, 6], [12, 13, 2, 7]]
20: [[5, 1], [3, 10, 4, 8], [11, 9, 6, 2], [7, 12, 13]]
21: [[5, 1], [3, 10, 4, 8], [11, 9, 6, 2], [12, 7, 13]]
22: [[5, 1], [3, 10, 4, 8], [11, 9, 6, 2], [7, 12, 13]]
23: [[5, 1, 3], [10, 4], [8, 11, 9, 13, 12, 6], [7, 2]]
24: [[5, 1], [3, 10, 4], [8], [11, 9, 6], [13, 12, 2, 7]]
25: [[5, 1], [3, 10, 4], [8], [11, 9, 6], [12, 13, 2, 7]]
26: [[5, 1], [3, 10, 4], [8], [11, 9, 6], [12, 13, 2, 7]]
27: [[5], [1, 3, 10, 4, 8, 11, 9, 6, 2, 12, 7, 13]]
