0: [[5, 3, 1], [10, 12, 13, 7, 2], [11, 4, 9, 6, 8]]
1: [[5, 3, 1], [10, 12, 13, 2, 7], [11, 4, 9, 6, 8]]
2: [[5, 3, 1], [10, 12, 13, 2, 7], [11, 4, 9, 6, 8]]
3: [[5, 3, 1], [10, 12, 13, 2], [7, 11, 4, 9, 6, 8]]
4: [[5, 1, 3], [10, 12, 13, 2], [7, 11], [4, 9, 6, 8]]
5: [[5, 1, 3], [10, 12, 13, 2], [7, 11], [4, 9, 6, 8]]
6: [[5, 3, 1], [10, 12, 13, 2, 7], [11], [4, 9, 6, 8]]
7: [[5, 3, 1], [10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
8: [[5, 3, 1], [10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
9: [[5, 3, 1], [10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
10: [[5, 3, 1], [10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
11: [[5, 3], [1, 10, 12, 13, 2, 7], [11, 4, 9], [6, 8]]
12: [[5, 3], [1, 10, 12, 13, 2], [7, 11, 4, 9], [6, 8]]
13: [[5, 3], [1, 10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
14: [[5, 3], [1, 10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
15: [[5, 3], [1, 10, 12, 13, 2, 7, 11, 4, 9], [6, 8]]
16: [[5, 3, 1], [10, 12, 13, 2, 7], [11, 4], [9, 6, 8]]
17: [[5, 3, 1, 10, 12], [13, 2, 7, 11], [4, 9, 6, 8]]
18: [[5, 3, 1, 10], [12, 13, 2, 7, 11, 4, 9], [6, 8]]
19: [[5, 3], [10, 12], [13, 2, 7, 11], [4, 9, 1], [6, 8]]
20: [[5, 3], [1, 10, 12, 13, 2, 7, 11, 4, 9, 6], [8]]
21: [[5], [1, 10, 12, 13, 2], [7, 11, 4, 9, 3], [6, 8]]
22: [[5], [10, 12, 13], [2, 7, 3, 1], [11, 4, 9, 6, 8]]
23: [[5], [3, 1, 10, 12, 13, 2, 7, 11, 4, 9, 6], [8]]
24: [[5], [10], [12, 13, 2], [7, 11, 4, 3, 1], [9, 6, 8]]
25: [[5], [3, 1, 10, 12, 13, 2, 7, 11, 4, 9, 6], [8]]
26: [[5, 1, 10, 3], [12, 13], [7, 2], [11, 4, 9], [6, 8]]
27: [[5, 3, 1, 10], [12, 13], [11, 4, 2], [9, 6, 8, 7]]
