,mq,No. Clus,Max clus,Min clus
0,1.371212121212121,4,6,2
1,1.3246753246753247,4,5,2
2,1.287878787878788,3,6,2
3,1.2651515151515151,4,7,2
4,1.2635642135642136,5,5,2
5,1.2193486590038314,4,5,2
6,1.2193486590038314,4,5,2
7,1.1762626262626263,6,3,2
8,1.1834521687462862,5,6,1
9,1.1762626262626263,6,3,2
10,1.1762626262626263,6,3,2
11,1.1762626262626263,6,3,2
12,1.1762626262626263,6,3,2
13,1.082835293361609,5,4,1
14,1.082835293361609,5,4,1
15,1.082835293361609,5,4,1
16,1.082835293361609,5,4,1
17,1.082835293361609,5,4,1
18,1.0800637958532695,3,8,2
19,1.0569815805109923,5,4,2
20,1.0016129032258065,4,6,1
21,1.0016129032258065,4,6,1
22,1.0016129032258065,4,6,1
23,0.9721563460693896,5,5,1
24,0.9661319073083778,3,10,1
25,0.8771929824561403,3,11,1
26,0.802393684746626,3,6,3
27,0.7972027972027973,4,7,2
