It No., Best MQ, No clusters, max clus, min clus
1,1.404040404040404,5,3,2
2,1.496831670744714,4,4,2
3,1.486888111888112,4,4,3
4,1.4415584415584415,4,5,2
5,1.486888111888112,4,4,3
6,1.496831670744714,4,4,2
7,1.4731601731601733,4,4,3
8,1.4246031746031744,5,4,2
9,1.4415584415584415,4,5,2
10,1.4583333333333333,4,5,2
11,1.471394984326019,4,5,2
12,1.496831670744714,4,4,2
13,1.496831670744714,4,4,2
14,1.5064935064935066,4,4,2
15,1.4453823953823952,5,4,2
16,1.5064935064935066,4,4,2
17,1.496831670744714,4,4,2
18,1.4583333333333333,4,5,2
19,1.486888111888112,4,4,3
20,1.496831670744714,4,4,2
21,1.5064935064935066,4,4,2
22,1.427128427128427,5,4,2
23,1.496831670744714,4,4,2
24,1.5064935064935066,4,4,2
25,1.496831670744714,4,4,2
26,1.427128427128427,5,4,2
27,1.496831670744714,4,4,2
28,1.5064935064935066,4,4,2
29,1.4272727272727272,4,5,2
30,1.486888111888112,4,4,3
31,1.4968316707447142,4,4,2
