No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9674826799194118,0.9982517482517483,3,5,4
1,1.0849746766714214,1.125,3,5,4
2,1.1516962401471438,1.196978021978022,3,5,4
3,1.1516962401471438,1.196978021978022,3,5,4
4,1.1633258256384593,1.2095238095238097,3,5,4
5,1.1633258256384593,1.2095238095238097,3,5,4
6,1.1633258256384593,1.2095238095238097,3,5,4
7,1.1958992027709432,1.2446633825944171,3,5,4
8,1.1958992027709432,1.2446633825944171,3,5,4
9,1.1958992027709432,1.2446633825944171,3,5,4
10,1.1958992027709432,1.2446633825944171,3,5,4
11,1.219506744606932,1.2822510822510824,3,7,2
12,1.219506744606932,1.2822510822510824,3,7,2
13,1.219506744606932,1.2822510822510824,3,7,2
14,1.219506744606932,1.2822510822510824,3,7,2
15,1.219506744606932,1.2822510822510824,3,7,2
16,1.219506744606932,1.2822510822510824,3,7,2
17,1.219506744606932,1.2822510822510824,3,7,2
18,1.219506744606932,1.2822510822510824,3,7,2
19,1.219506744606932,1.2822510822510824,3,7,2
20,1.219506744606932,1.2822510822510824,3,7,2
21,1.219506744606932,1.2822510822510824,3,7,2
22,1.219506744606932,1.2822510822510824,3,7,2
23,1.219506744606932,1.2822510822510824,3,7,2
24,1.219506744606932,1.2822510822510824,3,7,2
25,1.219506744606932,1.2822510822510824,3,7,2
26,1.219506744606932,1.2822510822510824,3,7,2
27,1.219506744606932,1.2822510822510824,3,7,2
28,1.219506744606932,1.2822510822510824,3,7,2
29,1.219506744606932,1.2822510822510824,3,7,2
30,1.219506744606932,1.2822510822510824,3,7,2
31,1.219506744606932,1.2822510822510824,3,7,2
32,1.219506744606932,1.2822510822510824,3,7,2
33,1.219506744606932,1.2822510822510824,3,7,2
34,1.219506744606932,1.2822510822510824,3,7,2
35,1.219506744606932,1.2822510822510824,3,7,2
36,1.219506744606932,1.2822510822510824,3,7,2
37,1.219506744606932,1.2822510822510824,3,7,2
38,1.219506744606932,1.2822510822510824,3,7,2
39,1.219506744606932,1.2822510822510824,3,7,2
40,1.219506744606932,1.2822510822510824,3,7,2
41,1.219506744606932,1.2822510822510824,3,7,2
42,1.219506744606932,1.2822510822510824,3,7,2
43,1.219506744606932,1.2822510822510824,3,7,2
44,1.219506744606932,1.2822510822510824,3,7,2
45,1.219506744606932,1.2822510822510824,3,7,2
46,1.219506744606932,1.2822510822510824,3,7,2
47,1.219506744606932,1.2822510822510824,3,7,2
48,1.219506744606932,1.2822510822510824,3,7,2
49,1.219506744606932,1.2822510822510824,3,7,2
50,1.219506744606932,1.2822510822510824,3,7,2
51,1.219506744606932,1.2822510822510824,3,7,2
52,1.219506744606932,1.2822510822510824,3,7,2
53,1.219506744606932,1.2822510822510824,3,7,2
54,1.219506744606932,1.2822510822510824,3,7,2
55,1.219506744606932,1.2822510822510824,3,7,2
56,1.219506744606932,1.2822510822510824,3,7,2
57,1.219506744606932,1.2822510822510824,3,7,2
58,1.219506744606932,1.2822510822510824,3,7,2
59,1.219506744606932,1.2822510822510824,3,7,2
60,1.219506744606932,1.2822510822510824,3,7,2
61,1.219506744606932,1.2822510822510824,3,7,2
62,1.219506744606932,1.2822510822510824,3,7,2
63,1.219506744606932,1.2822510822510824,3,7,2
64,1.219506744606932,1.2822510822510824,3,7,2
65,1.219506744606932,1.2822510822510824,3,7,2
66,1.219506744606932,1.2822510822510824,3,7,2
67,1.219506744606932,1.2822510822510824,3,7,2
68,1.219506744606932,1.2822510822510824,3,7,2
69,1.219506744606932,1.2822510822510824,3,7,2
70,1.219506744606932,1.2822510822510824,3,7,2
71,1.219506744606932,1.2822510822510824,3,7,2
72,1.219506744606932,1.2822510822510824,3,7,2
73,1.219506744606932,1.2822510822510824,3,7,2
