0: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
1: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
2: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
3: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
4: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
5: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
6: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
7: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
8: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
9: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
10: [[6, 9], [3, 5, 10, 1, 4, 2], [11, 8], [7, 12, 13]]
11: [[3, 5, 2, 10, 1], [4, 11, 9, 6], [8, 7, 12, 13]]
12: [[3, 5, 2, 10, 1], [4, 11, 9, 6], [8, 7, 12, 13]]
13: [[3, 5, 2, 10, 1], [4, 11, 9, 6], [8, 7, 12, 13]]
14: [[3, 5, 2, 10, 1], [4, 11, 9, 6], [8, 7, 12, 13]]
15: [[6, 3, 5, 10, 9, 2], [1, 4], [11, 8], [7, 12, 13]]
16: [[6, 3, 5, 10, 9, 2], [1, 4], [11, 8], [7, 12, 13]]
17: [[9, 6], [3, 5], [10, 1, 4, 11, 8], [12, 13, 2, 7]]
18: [[9, 6], [3, 5], [10, 1, 4, 11, 8], [12, 13, 2, 7]]
19: [[9, 6], [3, 5, 10, 1, 4, 11], [8], [12, 13, 2, 7]]
20: [[9, 6], [3, 5, 10, 1, 4, 11], [8], [12, 13, 2, 7]]
21: [[9, 6], [3, 5, 10, 1, 4, 11], [8], [12, 13, 2, 7]]
22: [[9, 6], [5, 2], [10, 1, 3], [4, 11, 8, 7, 12, 13]]
23: [[9, 6, 5, 3, 2], [10, 1], [4, 11], [8, 7, 12, 13]]
24: [[9, 6, 3, 5, 10, 1], [4, 11], [8], [12, 13, 2, 7]]
25: [[9, 6, 3, 5, 10, 1], [4, 11], [8], [12, 13, 2, 7]]
26: [[9, 6, 3, 5, 10, 1], [4, 11], [8], [12, 13, 2, 7]]
27: [[9, 6, 3, 5, 10, 1], [4, 11], [8], [12, 13, 2, 7]]
