0: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
1: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
2: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
3: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
4: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
5: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
6: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
7: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8], [10, 4]]
8: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11], [8, 10, 4]]
9: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11], [8, 10, 4]]
10: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11], [8, 10, 4]]
11: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11], [8, 10, 4]]
12: [[13, 12, 7], [5, 1, 2, 3], [6, 9, 11, 8, 10, 4]]
13: [[13, 12, 7], [5, 1, 2], [3], [6, 9, 11, 8], [10, 4]]
14: [[13, 12, 7], [5, 1, 2, 3], [6, 9], [11, 8, 10, 4]]
15: [[13, 12, 7], [5, 1, 2, 3], [6, 9], [11, 8, 10, 4]]
16: [[13, 12, 7], [5, 1, 2, 3], [6, 9], [11, 8, 10, 4]]
17: [[13, 12, 7], [5, 1, 2, 3], [6, 9], [11, 8, 10, 4]]
18: [[13, 12, 7, 5], [1, 2, 3], [6, 9, 11, 8], [10, 4]]
19: [[13, 12, 5, 2], [1, 6, 3], [9, 11, 7], [10, 4, 8]]
20: [[13, 12, 7, 5], [1, 2, 3, 6], [9, 11], [8, 10, 4]]
21: [[13, 12, 7, 5], [1, 2, 3, 6], [9, 11], [8, 10, 4]]
22: [[13, 12, 7], [5, 1], [2, 3, 6, 9, 11, 8, 10, 4]]
23: [[13, 12, 7, 5], [1, 2], [3, 6, 9, 11, 8, 10, 4]]
24: [[13, 12, 7, 5], [1, 2], [3, 6, 9, 11, 8, 10, 4]]
25: [[13, 12], [7, 5, 1, 2], [3, 6, 9, 11], [8, 10, 4]]
26: [[13], [12, 7, 5, 1, 2, 3, 6, 9, 11, 8, 10], [4]]
27: [[13], [12, 7, 5, 1, 2, 3, 6, 9, 11, 8, 10], [4]]
