,mq,No. Clus,Max clus,Min clus
0,1.486888111888112,4,4,3
1,1.486888111888112,4,4,3
2,1.4591332580463017,4,4,3
3,1.3358585858585859,5,4,1
4,1.3358585858585859,5,4,1
5,1.3358585858585859,5,4,1
6,1.2727272727272727,5,4,1
7,1.2683982683982684,4,4,3
8,1.2590612002376709,5,4,2
9,1.2590612002376709,5,4,2
10,1.2390154129284565,3,6,3
11,1.2126068376068377,3,7,2
12,1.2126068376068377,3,7,2
13,1.1809523809523808,4,5,2
14,1.1738562091503266,5,6,1
15,1.169000933706816,4,5,2
16,1.146053946053946,5,4,1
17,1.135064935064935,5,3,2
18,1.125615763546798,4,5,1
19,1.1232517482517483,5,4,1
20,1.1038302277432712,5,4,2
21,1.0909376571141278,5,4,2
22,1.0541871921182266,3,7,3
23,1.0065359477124183,3,9,2
24,1.006105006105006,4,5,2
25,0.9813664596273292,3,8,2
26,0.967741935483871,2,12,1
27,0.9299145299145299,4,5,2
