0: [[10, 5, 12, 2], [7, 13, 3, 1], [6, 4, 8, 11, 9]]
1: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
2: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
3: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
4: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
5: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
6: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
7: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
8: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
9: [[2, 10, 5, 12], [7, 1, 13, 3], [6, 4, 8, 11, 9]]
10: [[2, 10, 5], [12, 7, 1, 13, 3], [6, 4, 8, 11, 9]]
11: [[2, 10, 5], [12, 7, 1, 13, 3], [6, 4, 8, 11, 9]]
12: [[2, 10, 5], [12, 7, 1, 13, 3], [6, 4, 8, 11, 9]]
13: [[2, 10, 5], [12, 7, 1, 13, 3], [6, 4, 8, 11, 9]]
14: [[2, 10], [5, 12, 7, 1, 13, 3], [6, 4, 8, 11, 9]]
15: [[2, 10, 5, 12, 7], [1, 13, 3], [6, 4, 8, 11, 9]]
16: [[2, 10, 5, 12, 7], [1, 13, 3], [6, 4, 8, 11, 9]]
17: [[2, 10, 5], [12, 7, 1, 13], [3, 6, 4, 8, 11, 9]]
18: [[2, 10, 5], [12, 7, 1, 13], [3, 6, 4, 8, 11, 9]]
19: [[2, 10, 5], [12, 7, 1, 13], [3, 6, 4, 8, 11, 9]]
20: [[2, 10, 5], [12, 7, 1, 13], [3, 6, 4, 8, 11, 9]]
21: [[2, 10, 5, 12], [7, 1, 13], [3, 6, 4, 8, 11, 9]]
22: [[2, 10, 5, 12], [7, 1, 13], [3, 6, 4, 8, 11, 9]]
23: [[2, 10, 5, 12], [7, 1, 13], [3, 6, 4, 8, 11, 9]]
24: [[2, 10, 5, 12], [7, 1, 13, 3, 6], [4, 8, 11, 9]]
25: [[2, 10, 5, 12], [7, 1, 13, 3, 6], [4, 8, 11, 9]]
26: [[2, 10, 5, 12, 7], [1, 13, 3, 6], [4, 8, 11, 9]]
27: [[2, 10, 5], [12, 7, 1, 13, 3, 6], [4, 8, 11, 9]]
