,mq,No. Clus,Max clus,Min clus
0,1.5064935064935066,4,4,2
1,1.5064935064935066,4,4,2
2,1.5064935064935066,4,4,2
3,1.4891774891774894,4,4,3
4,1.394805194805195,5,3,2
5,1.2963286713286712,4,4,3
6,1.2895768025078371,4,5,2
7,1.2577985739750446,5,4,2
8,1.2527823054138842,4,4,2
9,1.2386363636363638,5,3,2
10,1.2370600414078674,3,5,3
11,1.2136363636363638,5,4,2
12,1.2136363636363638,5,4,2
13,1.2136363636363638,5,4,2
14,1.1950899977215768,5,4,2
15,1.1950899977215768,5,4,2
16,1.1950899977215768,5,4,2
17,1.1841100076394195,5,3,2
18,1.183882783882784,3,5,4
19,1.1743697478991597,4,6,2
20,1.1392857142857142,4,5,2
21,1.1287878787878787,5,5,1
22,1.1018518518518519,3,10,1
23,1.076210826210826,3,6,3
24,1.060633484162896,4,4,2
25,0.9802631578947368,5,4,2
26,0.9843840370156159,4,5,2
27,0.9347826086956521,5,4,2
