0: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
1: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [12, 13, 7]]
2: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [12, 13, 7]]
3: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [12, 13, 7]]
4: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [12, 13, 7]]
5: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
6: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
7: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
8: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
9: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
10: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
11: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
12: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
13: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
14: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11], [13, 12, 7]]
15: [[1, 4, 9, 3], [5, 10, 2], [6, 8, 11], [12, 13, 7]]
16: [[1, 4, 9, 3], [5, 10, 2], [6, 8, 11], [13, 12, 7]]
17: [[1, 4, 9, 3], [5, 10, 2], [6, 8, 11], [12, 13, 7]]
18: [[1, 4, 3, 9], [5, 10, 2, 6, 8, 11], [7, 13, 12]]
19: [[1, 4, 3, 9], [5, 10, 2, 6, 8, 11], [7, 13, 12]]
20: [[1, 3, 4], [9, 5, 10, 2], [8, 6], [11, 13, 12, 7]]
21: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11, 7, 13, 12]]
22: [[1, 4, 3], [9, 5, 10, 2], [6, 8, 11, 7, 12, 13]]
23: [[1, 4, 3, 9], [5, 10, 2], [6, 8, 11, 7, 13, 12]]
24: [[1, 4, 3], [9, 5, 10], [8, 6], [11, 13, 12, 2, 7]]
25: [[1, 4, 3], [9, 5, 10], [8, 6], [11, 13, 12, 2, 7]]
26: [[1, 4, 3], [9, 5, 10], [8, 6], [11, 13, 12, 2, 7]]
27: [[1, 4, 3], [9, 5, 10], [2, 6, 8, 11, 7, 13, 12]]
