0: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
1: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
2: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
3: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
4: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
5: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
6: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
7: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
8: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
9: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
10: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
11: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
12: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
13: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
14: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
15: [[10, 1, 2, 4, 6], [3, 5], [13, 7, 11, 8, 9, 12]]
16: [[10, 1, 2, 4, 6, 3, 5], [13, 7], [11, 8, 9, 12]]
17: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
18: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
19: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
20: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
21: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
22: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
23: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
24: [[10, 1, 2, 4, 6, 3], [5, 13], [7, 11, 8, 9, 12]]
25: [[10, 1, 2, 4], [6, 3], [5, 13, 7, 11, 8, 9, 12]]
26: [[10, 1, 2, 4], [6, 3], [5, 13, 7, 11, 8, 9, 12]]
27: [[10, 1, 2, 4], [6, 3], [5, 13, 7, 11, 8, 9, 12]]
