,mq,No. Clus,Max clus,Min clus
0,1.375,3,6,3
1,1.375,3,6,3
2,1.375,3,6,3
3,1.375,3,6,3
4,1.375,3,6,3
5,1.375,3,6,3
6,1.375,3,6,3
7,1.375,3,6,3
8,1.375,3,6,3
9,1.375,3,6,3
10,1.3527777777777779,3,6,3
11,1.3527777777777779,3,6,3
12,1.3527777777777779,3,6,3
13,1.3527777777777779,3,6,3
14,1.3527777777777779,3,6,3
15,1.3527777777777779,3,6,3
16,1.3527777777777779,3,6,3
17,1.289782608695652,3,5,4
18,1.289782608695652,3,5,4
19,1.2592105263157893,3,7,2
20,1.2416666666666667,3,5,3
21,1.2416666666666667,3,5,3
22,1.2390154129284563,3,6,3
23,1.2028985507246377,3,5,4
24,1.2028985507246377,3,5,4
25,1.187121212121212,3,7,3
26,1.1857142857142857,3,8,2
27,1.1444444444444444,3,6,2
