0: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
1: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
2: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
3: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
4: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
5: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
6: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
7: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11], [7, 13, 12]]
8: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
9: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
10: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
11: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
12: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
13: [[1, 3, 4, 10, 2, 5, 6, 8], [9, 11], [7, 13, 12]]
14: [[1, 3], [4, 10, 2, 5, 6, 8], [9, 11, 7, 13, 12]]
15: [[1, 3], [4, 10, 2, 5, 6, 8, 9], [11, 7, 13, 12]]
16: [[1, 3], [4, 10, 2, 5, 6, 8, 9], [11, 7, 13, 12]]
17: [[1, 3, 4, 10, 2, 5, 6], [8, 9], [11, 7, 13, 12]]
18: [[1, 3, 4, 10, 2, 5, 6], [8, 9], [11, 7, 13, 12]]
19: [[1, 3, 4, 10, 2, 5, 6], [8, 9], [11, 7, 13, 12]]
20: [[1, 3, 4, 10, 2, 5, 6], [8, 9], [11, 7, 13, 12]]
21: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11, 7], [13, 12]]
22: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11, 7], [13, 12]]
23: [[1, 3], [4, 10, 2, 5, 6, 8, 9, 11, 7], [13, 12]]
24: [[1, 3, 4, 10, 2, 5, 6, 8, 9], [11, 7], [13, 12]]
25: [[1, 3, 4, 10, 2, 5, 6, 8, 9], [11, 7], [13, 12]]
26: [[1, 3, 4, 10, 2, 5, 6, 8, 9], [11, 7], [13, 12]]
27: [[1, 3, 4, 10, 2, 5, 6, 8, 9], [11, 7], [13, 12]]
