0: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
1: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
2: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
3: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
4: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
5: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
6: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
7: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
8: [[5, 1, 3], [9, 10, 4, 2], [6, 8, 11], [13, 12, 7]]
9: [[5, 1, 3], [9, 10, 4], [6, 8, 11, 2], [13, 12, 7]]
10: [[5, 1, 3], [9, 10, 4], [6, 8, 11, 2], [13, 12, 7]]
11: [[5, 1, 3], [9, 10, 4], [6, 8, 11, 2], [13, 12, 7]]
12: [[5, 1, 3], [9, 10, 4], [6, 8, 11, 2], [13, 12, 7]]
13: [[5, 1, 3], [9, 10, 4], [6, 8, 11, 2], [13, 12, 7]]
14: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
15: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
16: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
17: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
18: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
19: [[5, 1, 3], [9, 10, 4], [8, 6], [11, 13, 12, 2, 7]]
20: [[5, 1, 3], [9, 10, 4], [2, 6, 8, 11, 13, 7, 12]]
21: [[5, 1, 3], [9, 10, 4], [2, 6, 8, 11, 13, 7, 12]]
22: [[5, 1, 3], [9, 10, 4], [2, 6, 8, 11, 13, 7, 12]]
23: [[5, 1, 3], [9, 10, 4], [2, 6, 8, 11, 13, 7, 12]]
24: [[5, 1, 3], [9, 10, 4], [8, 2, 6], [11, 13, 7], [12]]
25: [[5, 1, 3], [9, 10, 4], [8, 2, 6], [11, 13, 7], [12]]
26: [[5, 1, 3], [9, 10, 4], [6, 12, 11], [13, 8, 2, 7]]
27: [[5, 1], [3, 9, 10, 4, 2, 6, 8, 11, 13, 7], [12]]
