,mq,No. Clus,Max clus,Min clus
0,1.3894300144300145,4,5,2
1,1.3894300144300145,4,5,2
2,1.3038073038073037,4,4,2
3,1.3131313131313131,3,8,2
4,1.2743506493506493,4,4,3
5,1.2743506493506493,4,4,3
6,1.2683982683982684,4,4,3
7,1.2108585858585859,5,3,2
8,1.2126068376068377,3,7,2
9,1.2108585858585859,5,3,2
10,1.119186046511628,3,8,1
11,1.1045751633986929,4,6,2
12,1.0855762594893028,4,5,2
13,1.0476190476190474,4,5,2
14,1.0524109014675052,3,10,1
15,1.0524109014675052,3,10,1
16,1.0358585858585858,5,3,2
17,1.029040404040404,5,4,2
18,0.9907407407407407,4,6,2
19,0.947089947089947,3,6,3
20,0.9273504273504274,5,4,2
21,0.9238351254480286,3,8,2
22,0.9047619047619047,4,5,2
23,0.8932748538011696,5,4,1
24,0.8482142857142857,4,7,1
25,0.8460038986354775,5,6,1
26,0.7790982833427655,4,8,1
27,0.7497076023391812,7,2,1
