,mq,No. Clus,Max clus,Min clus
0,2.8705689445680376,22,6,2
1,2.2127968315143955,15,18,1
2,2.163764399435846,20,12,2
3,2.1420057501521774,15,16,2
4,2.139069150784379,21,17,2
5,2.1237067688582196,17,37,2
6,2.1125128788315375,17,20,2
7,2.1154921512123583,10,36,2
8,2.115429224982659,11,53,1
9,2.1074787374833424,20,15,2
10,2.099083315089991,12,52,1
11,2.092730002757262,9,36,2
12,2.0876641133934157,12,23,2
13,2.085440378079462,21,21,2
14,2.0845889677357157,12,54,2
15,2.0786032989793086,20,12,2
16,2.069321336498974,13,30,2
17,2.0699360932137427,9,60,2
18,2.0588641454021266,16,37,2
19,2.0525992016154704,10,38,2
20,2.0421266251251886,12,17,2
21,2.0393124592233756,10,44,2
22,2.0367121801330472,11,43,2
23,2.0159696638786997,16,26,2
24,2.0115324471323,15,16,2
25,2.011551297606318,11,43,2
26,2.0087706913638788,11,37,2
27,2.005101954256982,10,29,2
28,1.9915764174734687,13,30,2
29,1.9834664585165467,11,37,2
30,1.9833702035187282,11,36,2
31,1.9823716568288239,10,46,1
32,1.976207332756365,9,43,2
33,1.9682450072806772,15,30,2
34,1.9553146868148765,13,46,2
35,1.9478732283824673,14,21,2
36,1.943113275350235,21,12,2
37,1.9340888992779983,13,31,2
38,1.9364995144973862,12,53,1
39,1.9245129060329549,12,19,2
40,1.9141739310962063,8,52,1
41,1.9077625526833948,9,33,2
42,1.9044213037284556,29,7,1
43,1.9025962283110407,21,15,2
44,1.904902817986931,8,43,2
45,1.9013479611549993,10,53,2
46,1.895725942320651,9,29,2
47,1.8935514053892641,16,14,2
48,1.8921456161575874,17,22,2
49,1.8854607760398623,11,26,2
50,1.883828992135801,12,26,2
51,1.880779088263569,14,36,2
52,1.8771080317934026,14,19,2
53,1.872968375880721,16,14,2
54,1.874125238419333,14,27,2
55,1.8688935385854708,14,14,2
56,1.8659961720413452,20,24,2
57,1.8666810766559518,15,37,2
58,1.8627132440246488,16,16,2
59,1.8605861101366248,8,46,2
60,1.8487884302918556,20,13,2
61,1.8495116547770871,8,46,2
62,1.8419475384222248,21,16,2
63,1.8389633217077865,21,10,1
64,1.8318992434021335,24,6,2
65,1.8317201747460925,13,24,2
66,1.8298626094035786,22,8,2
67,1.8299654993069332,16,23,2
68,1.8316902554389827,8,54,2
69,1.8250159989220536,13,23,2
70,1.814369392668073,22,14,1
71,1.8082856910970224,14,32,2
72,1.8057049719790228,10,36,2
73,1.7973693896024248,17,15,2
74,1.7992373315882855,15,37,2
75,1.7992373315882855,15,37,2
76,1.793761942383513,10,25,2
77,1.7931582119997225,17,17,2
78,1.7934964447534114,9,27,2
79,1.7926925061060925,13,13,2
80,1.7884378742150475,17,40,2
81,1.7822243482005846,12,31,2
82,1.7786756013918419,16,20,2
83,1.7721168672090826,9,51,2
84,1.7663745845992829,20,21,2
85,1.7643686864242136,19,14,2
86,1.7637307206929063,16,22,2
87,1.7612085437181018,18,18,2
88,1.7579987661396326,24,5,2
89,1.7546724716739233,28,6,1
90,1.7502373027414349,8,37,2
91,1.7471641281525783,8,44,2
92,1.7439747968176607,23,10,2
93,1.7404897597383706,21,11,2
94,1.7392129393573914,17,11,2
95,1.7334091987746818,11,25,2
96,1.7239608607401096,15,17,2
97,1.725661713663937,15,40,2
98,1.7125856294807535,14,21,2
99,1.7137973842597383,6,68,2
100,1.7089681813832112,19,13,2
101,1.7058662355145802,21,12,1
102,1.708372348016009,7,53,1
103,1.7026237991424638,24,9,2
104,1.7006376251870994,24,8,2
105,1.7025050270185078,17,19,2
106,1.6961012501231665,21,12,2
107,1.693100761451499,13,31,2
