No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.1071889603369693,1.162689838107999,26,4,3
1,1.1071889603369693,1.162689838107999,26,4,3
2,1.2289526585498556,1.3206768966544504,19,28,2
3,1.2289526585498556,1.3206768966544504,19,28,2
4,1.2497163179853141,1.3384944419768638,10,13,4
5,1.2497163179853141,1.3384944419768638,10,13,4
6,1.258615455387877,1.3532011015281764,10,20,4
7,1.258615455387877,1.3532011015281764,10,20,4
8,1.258615455387877,1.3532011015281764,10,20,4
9,1.258615455387877,1.3532011015281764,10,20,4
10,1.258615455387877,1.3532011015281764,10,20,4
11,1.258615455387877,1.3532011015281764,10,20,4
12,1.3434319855650514,1.4488158858101903,9,19,3
13,1.3434319855650514,1.4488158858101903,9,19,3
14,1.3434319855650514,1.4488158858101903,9,19,3
15,1.3434319855650514,1.4488158858101903,9,19,3
16,1.3434319855650514,1.4488158858101903,9,19,3
17,1.3434319855650514,1.4488158858101903,9,19,3
18,1.3434319855650514,1.4488158858101903,9,19,3
19,1.3434319855650514,1.4488158858101903,9,19,3
20,1.3434319855650514,1.4488158858101903,9,19,3
21,1.3434319855650514,1.4488158858101903,9,19,3
22,1.3434319855650514,1.4488158858101903,9,19,3
23,1.3434319855650514,1.4488158858101903,9,19,3
24,1.3434319855650514,1.4488158858101903,9,19,3
25,1.3434319855650514,1.4488158858101903,9,19,3
26,1.3434319855650514,1.4488158858101903,9,19,3
27,1.3434319855650514,1.4488158858101903,9,19,3
28,1.3434319855650514,1.4488158858101903,9,19,3
29,1.3434319855650514,1.4488158858101903,9,19,3
30,1.3434319855650514,1.4488158858101903,9,19,3
31,1.3434319855650514,1.4488158858101903,9,19,3
32,1.3434319855650514,1.4488158858101903,9,19,3
33,1.3434319855650514,1.4488158858101903,9,19,3
34,1.3434319855650514,1.4488158858101903,9,19,3
35,1.3434319855650514,1.4488158858101903,9,19,3
36,1.3434319855650514,1.4488158858101903,9,19,3
37,1.3434319855650514,1.4488158858101903,9,19,3
38,1.3434319855650514,1.4488158858101903,9,19,3
39,1.3434319855650514,1.4488158858101903,9,19,3
40,1.3434319855650514,1.4488158858101903,9,19,3
41,1.3434319855650514,1.4488158858101903,9,19,3
42,1.3434319855650514,1.4488158858101903,9,19,3
43,1.3434319855650514,1.4488158858101903,9,19,3
44,1.3434319855650514,1.4488158858101903,9,19,3
45,1.3434319855650514,1.4488158858101903,9,19,3
46,1.3434319855650514,1.4488158858101903,9,19,3
47,1.3434319855650514,1.4488158858101903,9,19,3
48,1.3434319855650514,1.4488158858101903,9,19,3
49,1.3434319855650514,1.4488158858101903,9,19,3
50,1.3434319855650514,1.4488158858101903,9,19,3
51,1.3434319855650514,1.4488158858101903,9,19,3
52,1.3434319855650514,1.4488158858101903,9,19,3
53,1.3434319855650514,1.4488158858101903,9,19,3
54,1.3434319855650514,1.4488158858101903,9,19,3
55,1.3434319855650514,1.4488158858101903,9,19,3
56,1.3434319855650514,1.4488158858101903,9,19,3
57,1.3434319855650514,1.4488158858101903,9,19,3
58,1.3434319855650514,1.4488158858101903,9,19,3
59,1.3434319855650514,1.4488158858101903,9,19,3
60,1.3793406454571877,1.5052800592992672,7,41,3
61,1.3793406454571877,1.5052800592992672,7,41,3
62,1.3793406454571877,1.5052800592992672,7,41,3
63,1.3793406454571877,1.5052800592992672,7,41,3
64,1.3793406454571877,1.5052800592992672,7,41,3
65,1.3793406454571877,1.5052800592992672,7,41,3
66,1.3793406454571877,1.5052800592992672,7,41,3
67,1.3793406454571877,1.5052800592992672,7,41,3
68,1.3793406454571877,1.5052800592992672,7,41,3
69,1.3793406454571877,1.5052800592992672,7,41,3
70,1.4442451534959115,1.5616580711117645,10,19,2
71,1.4442451534959115,1.5616580711117645,10,19,2
72,1.4442451534959115,1.5616580711117645,10,19,2
73,1.4442451534959115,1.5616580711117645,10,19,2
74,1.4442451534959115,1.5616580711117645,10,19,2
75,1.4442451534959115,1.5616580711117645,10,19,2
76,1.4852691664218822,1.6028313873199107,12,15,3
77,1.4852691664218822,1.6028313873199107,12,15,3
78,1.4852691664218822,1.6028313873199107,12,15,3
79,1.4852691664218822,1.6028313873199107,12,15,3
80,1.4852691664218822,1.6028313873199107,12,15,3
81,1.4852691664218822,1.6028313873199107,12,15,3
82,1.4852691664218822,1.6028313873199107,12,15,3
83,1.4933091336535416,1.609118866691483,14,13,3
84,1.4933091336535416,1.609118866691483,14,13,3
85,1.4933091336535416,1.609118866691483,14,13,3
86,1.4933091336535416,1.609118866691483,14,13,3
87,1.4933091336535416,1.609118866691483,14,13,3
88,1.4933091336535416,1.609118866691483,14,13,3
89,1.4933091336535416,1.609118866691483,14,13,3
90,1.4933091336535416,1.609118866691483,14,13,3
91,1.4933091336535416,1.609118866691483,14,13,3
92,1.4933091336535416,1.609118866691483,14,13,3
93,1.537325897832587,1.6604215688566764,12,13,2
94,1.537325897832587,1.6604215688566764,12,13,2
95,1.571146828137394,1.713870951075949,8,33,3
96,1.571146828137394,1.713870951075949,8,33,3
97,1.571146828137394,1.713870951075949,8,33,3
98,1.571146828137394,1.713870951075949,8,33,3
99,1.571146828137394,1.713870951075949,8,33,3
100,1.571146828137394,1.713870951075949,8,33,3
101,1.571146828137394,1.713870951075949,8,33,3
102,1.571146828137394,1.713870951075949,8,33,3
103,1.571146828137394,1.713870951075949,8,33,3
104,1.571146828137394,1.713870951075949,8,33,3
105,1.571146828137394,1.713870951075949,8,33,3
106,1.571146828137394,1.713870951075949,8,33,3
107,1.571146828137394,1.713870951075949,8,33,3
108,1.571146828137394,1.713870951075949,8,33,3
109,1.571146828137394,1.713870951075949,8,33,3
110,1.571146828137394,1.713870951075949,8,33,3
111,1.571146828137394,1.713870951075949,8,33,3
112,1.571146828137394,1.713870951075949,8,33,3
113,1.571146828137394,1.713870951075949,8,33,3
114,1.571146828137394,1.713870951075949,8,33,3
115,1.571146828137394,1.713870951075949,8,33,3
116,1.571146828137394,1.713870951075949,8,33,3
117,1.571146828137394,1.713870951075949,8,33,3
118,1.571146828137394,1.713870951075949,8,33,3
119,1.571146828137394,1.713870951075949,8,33,3
120,1.571146828137394,1.713870951075949,8,33,3
121,1.571146828137394,1.713870951075949,8,33,3
122,1.6549336670872163,1.80087568756594,10,26,4
123,1.6549336670872163,1.80087568756594,10,26,4
124,1.6549336670872163,1.80087568756594,10,26,4
125,1.6549336670872163,1.80087568756594,10,26,4
126,1.6549336670872163,1.80087568756594,10,26,4
127,1.6735626889074486,1.8441000041772693,6,55,4
128,1.6735626889074486,1.8441000041772693,6,55,4
129,1.6735626889074486,1.8441000041772693,6,55,4
130,1.6735626889074486,1.8441000041772693,6,55,4
131,1.6735626889074486,1.8441000041772693,6,55,4
132,1.7117042828855404,1.8793351555231705,7,45,4
133,1.7117042828855404,1.8793351555231705,7,45,4
134,1.7117042828855404,1.8793351555231705,7,45,4
135,1.7117042828855404,1.8793351555231705,7,45,4
136,1.7117042828855404,1.8793351555231705,7,45,4
137,1.7117042828855404,1.8793351555231705,7,45,4
138,1.7117042828855404,1.8793351555231705,7,45,4
139,1.7117042828855404,1.8793351555231705,7,45,4
140,1.7117042828855404,1.8793351555231705,7,45,4
141,1.7117042828855404,1.8793351555231705,7,45,4
142,1.7117042828855404,1.8793351555231705,7,45,4
143,1.7117042828855404,1.8793351555231705,7,45,4
144,1.7117042828855404,1.8793351555231705,7,45,4
145,1.7117042828855404,1.8793351555231705,7,45,4
146,1.7117042828855404,1.8793351555231705,7,45,4
147,1.7117042828855404,1.8793351555231705,7,45,4
148,1.7117042828855404,1.8793351555231705,7,45,4
149,1.7117042828855404,1.8793351555231705,7,45,4
150,1.7117042828855404,1.8793351555231705,7,45,4
151,1.7117042828855404,1.8793351555231705,7,45,4
152,1.7117042828855404,1.8793351555231705,7,45,4
153,1.7117042828855404,1.8793351555231705,7,45,4
154,1.7117042828855404,1.8793351555231705,7,45,4
155,1.7117042828855404,1.8793351555231705,7,45,4
156,1.7117042828855404,1.8793351555231705,7,45,4
157,1.7117042828855404,1.8793351555231705,7,45,4
158,1.7117042828855404,1.8793351555231705,7,45,4
159,1.7117042828855404,1.8793351555231705,7,45,4
160,1.7117042828855404,1.8793351555231705,7,45,4
161,1.7117042828855404,1.8793351555231705,7,45,4
162,1.7117042828855404,1.8793351555231705,7,45,4
163,1.7117042828855404,1.8793351555231705,7,45,4
164,1.7117042828855404,1.8793351555231705,7,45,4
165,1.7117042828855404,1.8793351555231705,7,45,4
166,1.7117042828855404,1.8793351555231705,7,45,4
167,1.7117042828855404,1.8793351555231705,7,45,4
168,1.8434475286721224,2.0105270967564723,9,23,4
169,1.8434475286721224,2.0105270967564723,9,23,4
170,1.8434475286721224,2.0105270967564723,9,23,4
171,1.8434475286721224,2.0105270967564723,9,23,4
172,1.8434475286721224,2.0105270967564723,9,23,4
173,1.8434475286721224,2.0105270967564723,9,23,4
174,1.934272241409012,2.099985833514845,14,10,4
175,1.934272241409012,2.099985833514845,14,10,4
176,1.934272241409012,2.099985833514845,14,10,4
177,1.934272241409012,2.099985833514845,14,10,4
178,1.934272241409012,2.099985833514845,14,10,4
179,1.934272241409012,2.099985833514845,14,10,4
180,1.934272241409012,2.099985833514845,14,10,4
181,1.934272241409012,2.099985833514845,14,10,4
182,1.934272241409012,2.099985833514845,14,10,4
183,1.934272241409012,2.099985833514845,14,10,4
184,1.934272241409012,2.099985833514845,14,10,4
185,1.934272241409012,2.099985833514845,14,10,4
186,1.934272241409012,2.099985833514845,14,10,4
187,1.934272241409012,2.099985833514845,14,10,4
188,1.934272241409012,2.099985833514845,14,10,4
189,1.934272241409012,2.099985833514845,14,10,4
190,1.934272241409012,2.099985833514845,14,10,4
191,1.934272241409012,2.099985833514845,14,10,4
192,1.934272241409012,2.099985833514845,14,10,4
193,1.934272241409012,2.099985833514845,14,10,4
194,1.934272241409012,2.099985833514845,14,10,4
195,1.934272241409012,2.099985833514845,14,10,4
196,1.934272241409012,2.099985833514845,14,10,4
197,1.934272241409012,2.099985833514845,14,10,4
198,1.934272241409012,2.099985833514845,14,10,4
199,1.934272241409012,2.099985833514845,14,10,4
200,1.934272241409012,2.099985833514845,14,10,4
201,1.934272241409012,2.099985833514845,14,10,4
202,1.934272241409012,2.099985833514845,14,10,4
203,1.934272241409012,2.099985833514845,14,10,4
204,1.934272241409012,2.099985833514845,14,10,4
205,1.934272241409012,2.099985833514845,14,10,4
206,1.934272241409012,2.099985833514845,14,10,4
207,1.934272241409012,2.099985833514845,14,10,4
208,1.934272241409012,2.099985833514845,14,10,4
209,1.934272241409012,2.099985833514845,14,10,4
210,1.934272241409012,2.099985833514845,14,10,4
211,1.934272241409012,2.099985833514845,14,10,4
212,1.934272241409012,2.099985833514845,14,10,4
213,1.934272241409012,2.099985833514845,14,10,4
214,1.934272241409012,2.099985833514845,14,10,4
215,2.071353304995442,2.251389534271534,15,8,4
216,2.071353304995442,2.251389534271534,15,8,4
217,2.071353304995442,2.251389534271534,15,8,4
218,2.071353304995442,2.251389534271534,15,8,4
219,2.071353304995442,2.251389534271534,15,8,4
220,2.071353304995442,2.251389534271534,15,8,4
221,2.071353304995442,2.251389534271534,15,8,4
222,2.071353304995442,2.251389534271534,15,8,4
223,2.071353304995442,2.251389534271534,15,8,4
224,2.071353304995442,2.251389534271534,15,8,4
225,2.071353304995442,2.251389534271534,15,8,4
226,2.071353304995442,2.251389534271534,15,8,4
227,2.071353304995442,2.251389534271534,15,8,4
228,2.071353304995442,2.251389534271534,15,8,4
229,2.071353304995442,2.251389534271534,15,8,4
230,2.071353304995442,2.251389534271534,15,8,4
231,2.071353304995442,2.251389534271534,15,8,4
232,2.071353304995442,2.251389534271534,15,8,4
233,2.071353304995442,2.251389534271534,15,8,4
234,2.071353304995442,2.251389534271534,15,8,4
235,2.071353304995442,2.251389534271534,15,8,4
236,2.071353304995442,2.251389534271534,15,8,4
237,2.071353304995442,2.251389534271534,15,8,4
238,2.071353304995442,2.251389534271534,15,8,4
239,2.071353304995442,2.251389534271534,15,8,4
240,2.071353304995442,2.251389534271534,15,8,4
241,2.071353304995442,2.251389534271534,15,8,4
242,2.071353304995442,2.251389534271534,15,8,4
243,2.071353304995442,2.251389534271534,15,8,4
244,2.071353304995442,2.251389534271534,15,8,4
245,2.071353304995442,2.251389534271534,15,8,4
246,2.071353304995442,2.251389534271534,15,8,4
247,2.071353304995442,2.251389534271534,15,8,4
248,2.071353304995442,2.251389534271534,15,8,4
249,2.071353304995442,2.251389534271534,15,8,4
250,2.071353304995442,2.251389534271534,15,8,4
251,2.071353304995442,2.251389534271534,15,8,4
252,2.071353304995442,2.251389534271534,15,8,4
253,2.071353304995442,2.251389534271534,15,8,4
254,2.071353304995442,2.251389534271534,15,8,4
255,2.071353304995442,2.251389534271534,15,8,4
256,2.071353304995442,2.251389534271534,15,8,4
257,2.071353304995442,2.251389534271534,15,8,4
258,2.071353304995442,2.251389534271534,15,8,4
259,2.071353304995442,2.251389534271534,15,8,4
260,2.071353304995442,2.251389534271534,15,8,4
261,2.071353304995442,2.251389534271534,15,8,4
262,2.071353304995442,2.251389534271534,15,8,4
263,2.071353304995442,2.251389534271534,15,8,4
264,2.071353304995442,2.251389534271534,15,8,4
265,2.071353304995442,2.251389534271534,15,8,4
266,2.071353304995442,2.251389534271534,15,8,4
267,2.071353304995442,2.251389534271534,15,8,4
268,2.071353304995442,2.251389534271534,15,8,4
269,2.071353304995442,2.251389534271534,15,8,4
270,2.071353304995442,2.251389534271534,15,8,4
271,2.071353304995442,2.251389534271534,15,8,4
272,2.071353304995442,2.251389534271534,15,8,4
273,2.071353304995442,2.251389534271534,15,8,4
274,2.071353304995442,2.251389534271534,15,8,4
275,2.071353304995442,2.251389534271534,15,8,4
276,2.071353304995442,2.251389534271534,15,8,4
277,2.071353304995442,2.251389534271534,15,8,4
278,2.071353304995442,2.251389534271534,15,8,4
279,2.071353304995442,2.251389534271534,15,8,4
280,2.071353304995442,2.251389534271534,15,8,4
281,2.071353304995442,2.251389534271534,15,8,4
282,2.071353304995442,2.251389534271534,15,8,4
283,2.071353304995442,2.251389534271534,15,8,4
284,2.071353304995442,2.251389534271534,15,8,4
285,2.071353304995442,2.251389534271534,15,8,4
286,2.071353304995442,2.251389534271534,15,8,4
287,2.071353304995442,2.251389534271534,15,8,4
288,2.071353304995442,2.251389534271534,15,8,4
289,2.071353304995442,2.251389534271534,15,8,4
290,2.071353304995442,2.251389534271534,15,8,4
291,2.071353304995442,2.251389534271534,15,8,4
292,2.071353304995442,2.251389534271534,15,8,4
293,2.071353304995442,2.251389534271534,15,8,4
294,2.071353304995442,2.251389534271534,15,8,4
295,2.071353304995442,2.251389534271534,15,8,4
296,2.071353304995442,2.251389534271534,15,8,4
297,2.071353304995442,2.251389534271534,15,8,4
298,2.071353304995442,2.251389534271534,15,8,4
299,2.071353304995442,2.251389534271534,15,8,4
300,2.071353304995442,2.251389534271534,15,8,4
301,2.071353304995442,2.251389534271534,15,8,4
302,2.071353304995442,2.251389534271534,15,8,4
303,2.071353304995442,2.251389534271534,15,8,4
304,2.071353304995442,2.251389534271534,15,8,4
305,2.071353304995442,2.251389534271534,15,8,4
306,2.071353304995442,2.251389534271534,15,8,4
307,2.071353304995442,2.251389534271534,15,8,4
308,2.071353304995442,2.251389534271534,15,8,4
309,2.071353304995442,2.251389534271534,15,8,4
310,2.071353304995442,2.251389534271534,15,8,4
311,2.071353304995442,2.251389534271534,15,8,4
312,2.071353304995442,2.251389534271534,15,8,4
313,2.071353304995442,2.251389534271534,15,8,4
314,2.071353304995442,2.251389534271534,15,8,4
315,2.071353304995442,2.251389534271534,15,8,4
316,2.071353304995442,2.251389534271534,15,8,4
317,2.071353304995442,2.251389534271534,15,8,4
318,2.071353304995442,2.251389534271534,15,8,4
319,2.071353304995442,2.251389534271534,15,8,4
320,2.071353304995442,2.251389534271534,15,8,4
321,2.071353304995442,2.251389534271534,15,8,4
322,2.071353304995442,2.251389534271534,15,8,4
323,2.071353304995442,2.251389534271534,15,8,4
324,2.071353304995442,2.251389534271534,15,8,4
325,2.071353304995442,2.251389534271534,15,8,4
326,2.071353304995442,2.251389534271534,15,8,4
327,2.071353304995442,2.251389534271534,15,8,4
328,2.071353304995442,2.251389534271534,15,8,4
329,2.071353304995442,2.251389534271534,15,8,4
330,2.071353304995442,2.251389534271534,15,8,4
331,2.071353304995442,2.251389534271534,15,8,4
332,2.071353304995442,2.251389534271534,15,8,4
333,2.071353304995442,2.251389534271534,15,8,4
334,2.071353304995442,2.251389534271534,15,8,4
335,2.071353304995442,2.251389534271534,15,8,4
336,2.071353304995442,2.251389534271534,15,8,4
337,2.071353304995442,2.251389534271534,15,8,4
338,2.071353304995442,2.251389534271534,15,8,4
339,2.071353304995442,2.251389534271534,15,8,4
340,2.071353304995442,2.251389534271534,15,8,4
341,2.071353304995442,2.251389534271534,15,8,4
342,2.071353304995442,2.251389534271534,15,8,4
343,2.071353304995442,2.251389534271534,15,8,4
344,2.071353304995442,2.251389534271534,15,8,4
345,2.071353304995442,2.251389534271534,15,8,4
346,2.071353304995442,2.251389534271534,15,8,4
347,2.071353304995442,2.251389534271534,15,8,4
