,mq,No. Clus,Max clus,Min clus
0,3.8116575972395075,23,13,1
1,3.106540497948249,27,6,1
2,3.106540497948249,27,6,1
3,3.06232173559382,26,6,1
4,3.0467318187609935,26,6,2
5,2.9769753310581173,20,17,1
6,2.9702595057418058,23,12,2
7,2.921219319278285,22,10,2
8,2.9035127118686956,21,16,2
9,2.9035127118686956,21,16,2
10,2.9005486369713935,16,23,1
11,2.8748196540375575,24,10,1
12,2.8724863431684633,22,8,1
13,2.8382281753408156,23,14,1
14,2.8332038179117323,25,15,1
15,2.821161652429264,19,11,2
16,2.792888784982231,22,15,1
17,2.7858149542903097,20,22,1
18,2.779306608703833,20,22,1
19,2.7723366255187165,22,19,1
20,2.7662009122658553,12,38,2
21,2.7668184502828312,12,48,2
22,2.7584302514364776,22,8,1
23,2.735996681825223,14,41,1
24,2.7249749390885003,20,19,1
25,2.7127678884356525,22,16,2
26,2.719962419012263,15,31,1
27,2.7051483676206924,19,17,2
28,2.669352220377451,25,6,1
29,2.6835966118699113,13,36,2
30,2.6835966118699113,13,36,2
31,2.66868835287696,22,16,1
32,2.654300667434648,21,16,2
33,2.6212729324591986,23,6,2
34,2.5907715094739716,24,6,1
35,2.577593391826169,17,34,2
36,2.5544214307660846,19,19,1
37,2.5575995518502603,12,29,2
38,2.546424709996707,17,17,1
39,2.537402640629077,23,6,2
40,2.5318462474059884,27,4,1
41,2.531332060692578,21,11,2
42,2.531323958882655,20,11,2
43,2.520325925885359,21,17,2
44,2.507702357591205,24,9,1
45,2.4902848752166076,19,18,2
46,2.489867794653666,18,11,1
47,2.48817436225407,16,29,2
48,2.48817436225407,16,29,2
49,2.4823702352445896,15,24,1
50,2.443242414050419,25,8,1
51,2.436189746549566,24,11,1
52,2.4292177810558697,20,11,3
53,2.4115035139635164,27,5,2
54,2.4069170097455466,26,5,1
55,2.400273893475115,15,13,3
56,2.378976031731073,26,4,2
57,2.395258842817731,19,24,2
58,2.3824261278792953,23,9,1
59,2.3870178209196924,10,45,3
60,2.345777382112278,28,4,2
61,2.339871416136535,26,4,1
62,2.336745997556161,23,14,1
63,2.3198967972335494,24,6,2
64,2.306498167644492,28,4,1
65,2.3075775302127903,21,9,1
66,2.2989200897852258,24,5,2
67,2.298758360713486,24,14,1
68,2.298758360713486,24,14,1
69,2.296882881323602,25,5,1
70,2.2683336442384645,26,4,2
71,2.2635847152023247,27,4,2
72,2.2572865460091935,17,19,2
73,2.2364105052438275,22,19,2
74,2.2333261658475303,24,10,1
75,2.227835620846886,18,12,2
76,2.2316041580805783,15,22,2
77,2.2117714355301055,27,4,2
78,2.2275839102832102,16,32,1
79,2.2078079916674733,25,10,1
80,2.2047155037090307,21,17,2
81,2.1948582317017538,26,5,2
82,2.203256739160703,19,17,1
83,2.189649962483037,18,27,1
84,2.1651456641279236,27,4,1
85,2.1679924801864567,23,11,2
86,2.163223906933435,22,16,2
87,2.152151634702298,27,5,2
88,2.147815852123449,28,5,1
89,2.1489507164732493,22,16,2
90,2.130891954132384,21,19,2
91,2.127597629817821,19,17,2
92,2.0980338678179002,8,39,3
93,2.0980238102332702,26,4,2
94,2.0951619580665204,18,17,2
95,2.0740497588464577,26,5,2
96,2.079050624189224,19,16,1
97,2.072037599058032,26,5,2
98,2.0753731361138215,18,28,2
99,2.0635459794484072,19,18,1
100,2.0488653154154557,21,14,1
101,2.038928273421445,26,5,1
102,2.0344426239718594,24,5,2
103,2.03715168531837,20,17,1
104,2.0322418032719587,27,6,1
105,2.0364129712922696,13,51,2
106,2.0288560784631833,25,8,1
107,2.0294210502145957,22,19,2
108,2.027807242964734,9,51,2
109,2.025246759445152,22,15,1
110,2.0128889247536472,24,6,2
111,2.005878653702876,27,8,1
112,2.0107933055796363,21,16,1
113,1.9971291952916927,29,5,1
114,1.983849670638455,28,4,2
115,1.964749255695225,21,16,3
116,1.9454785652266824,26,4,2
117,1.9455986689295592,11,31,2
118,1.940604120509184,28,4,2
119,1.9409262388805606,14,36,1
120,1.9243031474980474,26,4,2
121,1.882398722769112,21,8,3
122,1.8687675948795202,8,38,2
123,1.8625955971756427,27,4,2
124,1.8589315248049416,13,35,2
125,1.8504756932480562,22,5,2
126,1.8573117604357772,14,29,2
127,1.8287622308621247,23,18,2
128,1.8489329200229787,7,43,3
129,1.8267631043072514,13,26,2
130,1.8381603978375893,12,52,3
131,1.7918837414443225,27,5,2
132,1.8198218967697786,8,40,3
133,1.805394527039204,17,33,2
134,1.7979529648831034,15,21,1
135,1.7979529648831034,15,21,1
136,1.776170354251398,25,6,2
137,1.7809771819991282,8,63,1
138,1.7496469470754676,26,4,2
139,1.744479958992963,26,4,1
140,1.725810046846745,14,26,2
141,1.718064948031094,27,4,2
142,1.7060042047117554,20,14,2
143,1.6928935391688709,27,4,2
144,1.6928385999364355,13,48,2
145,1.6301469970612008,12,21,1
146,1.6459915271298158,9,51,2
147,1.6351686621266441,10,43,2
148,1.5651303310971525,28,4,1
149,1.5742434177832512,17,24,2
150,1.5899999424966296,9,41,3
151,1.537963242969498,25,4,2
152,1.5358507268155723,7,53,3
