,mq,No. Clus,Max clus,Min clus
0,3.108865173978053,33,7,1
1,2.8715622823722278,29,11,1
2,2.4994647201940827,35,3,1
3,2.489537328716549,33,3,1
4,2.4535260425057657,31,4,2
5,2.398248654020882,31,3,2
6,2.387364869143218,32,4,2
7,2.3841680576348288,36,3,1
8,2.340472839291155,32,4,1
9,2.3355277152024776,32,7,1
10,2.2810958382357773,34,6,1
11,2.2807462346577827,28,11,2
12,2.2765358384863825,33,3,1
13,2.2783123467314907,29,15,1
14,2.2752274029054305,33,3,1
15,2.2326266757966597,34,4,1
16,2.228457156788466,32,4,1
17,2.194073791784077,35,3,1
18,2.172006279037878,31,8,1
19,2.1699211854939877,32,3,2
20,2.151814810880433,30,15,1
21,2.1441311474563505,32,4,2
22,2.1399673289454446,34,3,1
23,2.12293538022235,28,13,2
24,2.1028280043344267,32,3,2
25,2.1013019011827594,34,3,1
26,2.095133260550878,34,4,1
27,2.0921047257084013,32,3,1
28,2.07936803080116,33,3,2
29,2.063442095545677,33,6,1
30,2.056400995322908,32,4,2
31,2.051555923824066,34,3,1
32,2.0457129242239698,35,4,1
33,2.048395768775683,26,20,2
34,2.0423600802917945,31,3,2
35,2.031564555904366,34,3,1
36,2.0276865480726856,31,6,2
37,2.0265164425052076,33,3,2
38,2.018237136491371,33,4,1
39,2.0068318509458183,34,4,1
40,2.0018597922092316,28,17,1
41,2.0017491649356334,32,4,1
42,2.0017491649356334,32,4,1
43,1.9903248098188828,32,6,1
44,1.9861087631709462,33,3,1
45,1.9830185625945294,33,3,1
46,1.982823715547521,32,3,2
47,1.972753160741378,32,4,2
48,1.97395821241622,29,10,2
49,1.9707167412783249,33,4,1
50,1.9689046495288267,34,4,1
51,1.9661011375744273,29,18,1
52,1.9503945869856905,26,18,2
53,1.934294101761909,28,12,2
54,1.9253490984499417,34,4,1
55,1.925853799373284,33,5,1
56,1.9072480665664977,32,3,2
57,1.903864677032621,32,3,2
58,1.8929465162116275,32,3,2
59,1.896115416235935,27,16,1
60,1.8860529284065386,33,3,1
61,1.8791985662938844,34,4,1
62,1.87104156707284,33,4,2
63,1.8749460864891438,25,20,2
64,1.8680838527776509,32,3,1
65,1.862979635464057,33,4,2
66,1.8614944145806684,33,3,1
67,1.854199823161773,31,4,2
68,1.844914298495277,32,3,2
69,1.842550795796546,32,3,2
70,1.8085049378628686,32,3,2
71,1.8191160480419573,28,20,1
72,1.8131371642129914,28,12,2
73,1.8122913164150614,31,9,1
74,1.805438940853888,33,4,2
75,1.8105304366282033,23,30,1
76,1.800411695522302,32,4,2
77,1.795054354696716,35,3,1
78,1.7891464778436856,34,3,1
79,1.7889964849734827,31,9,1
80,1.7856271928796055,32,4,1
81,1.7889743927130917,23,21,2
82,1.7841441186252938,33,3,1
83,1.7797916232245647,23,17,1
84,1.7689664966179575,32,3,2
85,1.7694855450128877,33,7,1
86,1.769283292596541,28,14,1
87,1.7794398196816366,24,29,1
88,1.752667686120496,34,3,1
89,1.758875059572286,29,13,2
90,1.7489357047277203,32,13,1
91,1.7420365476609732,33,4,1
92,1.7481751665800047,23,28,1
93,1.7461750851228235,29,10,2
94,1.739208080543774,29,10,2
95,1.7446658782419164,22,32,1
96,1.735722195054481,33,4,1
97,1.7314332488352038,32,4,1
98,1.7311137598769266,30,10,2
99,1.7117614868670137,34,4,1
100,1.7098672837862057,33,4,1
101,1.6811354010650943,34,3,1
102,1.6969723564749983,22,29,2
103,1.6771363158473473,31,4,2
104,1.6623705381478904,33,3,1
105,1.6517837108256175,32,4,1
106,1.6446630391278407,34,3,2
107,1.650360004339078,26,24,1
108,1.643210705517043,19,41,1
109,1.642092980007491,23,32,2
110,1.633114546632113,33,3,2
111,1.620584646191363,29,18,1
112,1.6268740066318719,22,30,2
113,1.5861015937436718,19,25,1
114,1.575611420035074,31,9,2
115,1.5908779702570937,9,41,1
116,1.5558333816211802,32,4,2
117,1.5552861784586347,32,4,1
118,1.5539285144975317,32,4,1
119,1.5544556732428207,20,26,2
120,1.548433884168914,30,6,1
121,1.55174546031696,26,22,2
122,1.5456034087123394,32,6,1
123,1.5349158166655423,34,4,1
124,1.5331265210698495,31,3,2
125,1.5248922352534318,28,11,2
126,1.5217966692186677,32,3,1
127,1.5186910409699914,32,3,2
128,1.522700403235136,8,67,2
129,1.5161765470152102,21,33,1
130,1.5174921780669224,18,42,2
131,1.5083698296713492,18,36,1
132,1.500636587394412,23,25,1
133,1.4936945618112016,9,38,2
134,1.4811792827473633,18,41,2
135,1.479761559588655,10,30,1
136,1.4269122126661509,35,3,1
137,1.4554996330826386,20,38,1
138,1.4495658067684083,16,30,2
139,1.4234971816640982,36,3,1
140,1.4300340408444823,24,25,2
141,1.4111386182960786,22,32,2
142,1.404513797158652,19,30,1
143,1.3807081286199951,35,3,1
144,1.3888827807506945,20,38,1
145,1.3804417121514723,33,3,2
146,1.387291954139108,15,54,1
147,1.3708403729032703,27,16,2
148,1.378001920893361,19,43,1
149,1.3673915976706121,20,37,1
150,1.3557487696885941,34,3,1
