It No., Best MQ, No clusters, max clus, min clus
1,1.7331119068596141,7,13,12
2,2.7790325513862353,17,6,5
3,1.5274358222505522,4,22,22
4,1.4371503880193883,4,22,22
5,1.682602070554718,4,22,22
6,2.402536558683596,10,9,8
7,1.451620458542027,3,30,29
8,1.522009612772815,4,22,22
9,1.430503304336705,3,30,29
10,1.6860664055266932,4,22,22
11,1.630339715545512,4,22,22
12,1.9182680395472604,13,7,6
13,1.8264174344731072,10,9,8
14,2.226270574877389,9,10,9
15,1.554774156505002,4,22,22
16,1.5345837176511672,4,22,22
17,1.5551777701575689,4,22,22
18,2.517217674064754,36,3,2
19,1.8208434050226998,6,15,14
20,1.7208575586057135,15,6,5
21,1.6633440025931256,4,22,22
22,1.4689421457845584,4,22,22
23,2.824528923445914,15,6,5
24,1.4703332499063686,4,22,22
25,2.9051351318137293,23,4,3
26,1.599782180379831,12,8,7
27,2.7690338985943392,13,7,6
28,2.0629532529151176,9,10,9
29,1.710004707794888,14,7,6
30,1.6203873433813223,4,22,22
31,1.5869383981687004,4,22,22
