,mq,No. Clus,Max clus,Min clus
0,2.9204974708218017,26,6,1
1,2.5471449165610176,28,6,2
2,2.537185535511017,25,10,2
3,2.5210291030953673,18,29,2
4,2.460151966276479,22,27,1
5,2.4560874372168437,29,5,1
6,2.460151966276479,22,27,1
7,2.4102294559150725,20,21,2
8,2.372063888429755,14,33,2
9,2.367090642185053,27,9,2
10,2.344410442420183,25,6,2
11,2.344410442420183,25,6,2
12,2.343206564494597,24,10,2
13,2.3292012647357345,18,30,2
14,2.2761954987447894,29,4,2
15,2.2508174419416505,16,29,2
16,2.240409646432557,19,12,2
17,2.2433672161563774,15,40,2
18,2.2214107082806267,28,4,1
19,2.2100704134174984,30,5,1
20,2.2123427906766877,26,10,2
21,2.2108946131632385,25,11,1
22,2.2108946131632385,25,11,1
23,2.2020408205083313,29,4,2
24,2.1963811401573965,22,24,1
25,2.180752600214373,26,6,2
26,2.1877388827094126,23,20,1
27,2.180752600214373,26,6,2
28,2.191814861954201,20,28,2
29,2.186569754983739,21,27,1
30,2.1653862034128006,25,16,2
31,2.1596238676731994,18,27,1
32,2.14396434264038,20,27,1
33,2.1522203278377945,15,40,2
34,2.114961659540108,29,4,2
35,2.11815519491767,22,20,2
36,2.105279701877185,23,14,2
37,2.117644647108669,16,35,2
38,2.092495211690691,20,22,2
39,2.0920972926866273,29,6,1
40,2.094413823641859,19,33,1
41,2.0837680502931653,19,22,2
42,2.084533059175583,18,27,2
43,2.0752043742399864,28,9,1
44,2.0857211202227863,9,45,2
45,2.0744757257729742,30,5,1
46,2.0725497943373106,22,12,2
47,2.0444509339729056,26,4,1
48,2.0621862272544944,19,28,2
49,2.0490869562116423,25,11,1
50,2.0621862272544944,19,28,2
51,2.0315333607582704,26,7,2
52,1.9993640700976953,28,5,2
53,1.9993640700976953,28,5,2
54,2.0214938130366993,15,33,3
55,1.9840470456141228,27,6,2
56,1.9874258522191988,13,30,2
57,1.9748264350136502,16,27,1
58,1.9645258511004395,22,12,1
59,1.9579874168033782,27,7,1
60,1.9731538823726562,17,35,2
61,1.9537260117255597,24,7,2
62,1.9553821984172557,14,29,2
63,1.9346874368173446,28,5,2
64,1.956820727961592,9,44,2
65,1.9451589194679182,15,21,2
66,1.9499800716451217,15,35,2
67,1.9260636043099255,28,6,2
68,1.9340886056516655,21,29,1
69,1.9215807594109435,26,5,1
70,1.9192038832942617,27,5,2
71,1.8884420146167216,21,11,2
72,1.8699674763178105,24,7,2
73,1.8613640347451499,34,3,1
74,1.8861310161541494,12,53,2
75,1.8861310161541494,12,53,2
76,1.8643458639792185,17,21,2
