No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.1068426482974245,1.17653923797362,5,18,17
1,1.11771744534175,1.1778643508753701,22,5,3
2,1.2110451693987567,1.309446089534408,13,36,3
3,1.2110451693987567,1.309446089534408,13,36,3
4,1.2110451693987567,1.309446089534408,13,36,3
5,1.2110451693987567,1.309446089534408,13,36,3
6,1.2110451693987567,1.309446089534408,13,36,3
7,1.2110451693987567,1.309446089534408,13,36,3
8,1.2110451693987567,1.309446089534408,13,36,3
9,1.2884467053051472,1.3920154452107045,7,27,6
10,1.2884467053051472,1.3920154452107045,7,27,6
11,1.2884467053051472,1.3920154452107045,7,27,6
12,1.2884467053051472,1.3920154452107045,7,27,6
13,1.2884467053051472,1.3920154452107045,7,27,6
14,1.2884467053051472,1.3920154452107045,7,27,6
15,1.2884467053051472,1.3920154452107045,7,27,6
16,1.2884467053051472,1.3920154452107045,7,27,6
17,1.2884467053051472,1.3920154452107045,7,27,6
18,1.2884467053051472,1.3920154452107045,7,27,6
19,1.2884467053051472,1.3920154452107045,7,27,6
20,1.2884467053051472,1.3920154452107045,7,27,6
21,1.2884467053051472,1.3920154452107045,7,27,6
22,1.2884467053051472,1.3920154452107045,7,27,6
23,1.2884467053051472,1.3920154452107045,7,27,6
24,1.2884467053051472,1.3920154452107045,7,27,6
25,1.2884467053051472,1.3920154452107045,7,27,6
26,1.2884467053051472,1.3920154452107045,7,27,6
27,1.2884467053051472,1.3920154452107045,7,27,6
28,1.2884467053051472,1.3920154452107045,7,27,6
29,1.2884467053051472,1.3920154452107045,7,27,6
30,1.2884467053051472,1.3920154452107045,7,27,6
31,1.2884467053051472,1.3920154452107045,7,27,6
32,1.2884467053051472,1.3920154452107045,7,27,6
33,1.2884467053051472,1.3920154452107045,7,27,6
34,1.3364976962355564,1.452579415611319,5,32,3
35,1.3364976962355564,1.452579415611319,5,32,3
36,1.3364976962355564,1.452579415611319,5,32,3
37,1.3364976962355564,1.452579415611319,5,32,3
38,1.3364976962355564,1.452579415611319,5,32,3
39,1.3364976962355564,1.452579415611319,5,32,3
40,1.3364976962355564,1.452579415611319,5,32,3
41,1.3364976962355564,1.452579415611319,5,32,3
42,1.3364976962355564,1.452579415611319,5,32,3
43,1.3364976962355564,1.452579415611319,5,32,3
44,1.3364976962355564,1.452579415611319,5,32,3
45,1.3364976962355564,1.452579415611319,5,32,3
46,1.3364976962355564,1.452579415611319,5,32,3
47,1.3364976962355564,1.452579415611319,5,32,3
48,1.3364976962355564,1.452579415611319,5,32,3
49,1.444336818580536,1.5780315694641707,6,39,2
50,1.444336818580536,1.5780315694641707,6,39,2
51,1.444336818580536,1.5780315694641707,6,39,2
52,1.444336818580536,1.5780315694641707,6,39,2
53,1.444336818580536,1.5780315694641707,6,39,2
54,1.444336818580536,1.5780315694641707,6,39,2
55,1.444336818580536,1.5780315694641707,6,39,2
56,1.5386256829499416,1.6842489259309137,6,40,2
57,1.5386256829499416,1.6842489259309137,6,40,2
58,1.5386256829499416,1.6842489259309137,6,40,2
59,1.5386256829499416,1.6842489259309137,6,40,2
60,1.5386256829499416,1.6842489259309137,6,40,2
61,1.5386256829499416,1.6842489259309137,6,40,2
62,1.5614900052433385,1.6915366591579792,9,16,2
63,1.5614900052433385,1.6915366591579792,9,16,2
64,1.5614900052433385,1.6915366591579792,9,16,2
65,1.5614900052433385,1.6915366591579792,9,16,2
66,1.5614900052433385,1.6915366591579792,9,16,2
67,1.5614900052433385,1.6915366591579792,9,16,2
68,1.5614900052433385,1.6915366591579792,9,16,2
69,1.5614900052433385,1.6915366591579792,9,16,2
70,1.5614900052433385,1.6915366591579792,9,16,2
71,1.5614900052433385,1.6915366591579792,9,16,2
72,1.5614900052433385,1.6915366591579792,9,16,2
73,1.5614900052433385,1.6915366591579792,9,16,2
74,1.5614900052433385,1.6915366591579792,9,16,2
75,1.5614900052433385,1.6915366591579792,9,16,2
76,1.5614900052433385,1.6915366591579792,9,16,2
77,1.5614900052433385,1.6915366591579792,9,16,2
78,1.5614900052433385,1.6915366591579792,9,16,2
79,1.5614900052433385,1.6915366591579792,9,16,2
80,1.5614900052433385,1.6915366591579792,9,16,2
81,1.5614900052433385,1.6915366591579792,9,16,2
