,mq,No. Clus,Max clus,Min clus
0,1.7974056522110708,11,24,1
1,1.7974056522110708,11,24,1
2,1.4726218273980232,8,27,2
3,1.4676088372493894,8,14,2
4,1.4366746251253355,8,39,2
5,1.425890844187238,8,28,2
6,1.3957031105008535,8,14,2
7,1.39679084872739,7,27,2
8,1.3955403732479899,6,34,2
9,1.3499688329043626,9,24,2
10,1.333040543349416,7,14,2
11,1.3226769078118474,12,12,1
12,1.3128895163120131,8,26,2
13,1.30996647496274,8,26,2
14,1.3027115658937352,8,26,2
15,1.2980526587466703,5,46,2
16,1.2935739895848148,6,37,2
17,1.2863705036255315,7,34,2
18,1.2827310958899945,7,31,2
19,1.2833939544473103,5,38,2
20,1.2814577476236952,5,44,2
21,1.278586836546455,4,36,5
22,1.2631451941239504,7,19,2
23,1.260683714429518,9,28,2
24,1.2588461835309754,6,21,2
25,1.2563852085808258,9,18,2
26,1.2513749572410953,10,13,2
27,1.255327511843604,5,47,2
28,1.2490698948630679,11,12,2
29,1.2477969642116844,6,27,2
30,1.246487782386512,9,16,2
31,1.2409995662436368,7,19,2
32,1.2398325094645073,7,25,2
33,1.2395664506238535,7,26,2
34,1.2356465391765998,4,53,2
35,1.2295785595385753,6,26,2
36,1.220634336248968,9,21,2
37,1.2234438638646368,5,43,2
38,1.2146321073386581,11,16,2
39,1.2135496289584387,3,48,2
40,1.203202823786309,5,25,2
41,1.206168105039855,5,46,2
42,1.1912707347387748,9,17,2
43,1.19162936195999,7,23,2
44,1.190308474696346,8,20,2
45,1.1853344293870864,8,18,3
46,1.186219565465096,5,27,2
47,1.183108066640187,4,51,2
48,1.177993750596414,5,37,2
49,1.1735314569527828,7,23,2
50,1.1679586646840003,9,13,2
51,1.1618333144636679,6,48,2
52,1.157238900750671,8,21,2
53,1.1565570267805292,5,39,2
54,1.1525879189580257,6,38,2
55,1.147064282461176,7,26,2
56,1.1515524423700432,3,48,2
57,1.1464740065450891,6,41,2
58,1.1421074550555463,5,34,3
59,1.1397198548469825,6,34,2
60,1.140831264179326,4,45,2
61,1.133682762070678,8,20,2
62,1.1348968173099954,7,41,2
63,1.1265346857912415,9,21,2
64,1.1250151374609172,12,12,2
65,1.1205322513461173,7,26,4
66,1.1222974142784792,3,48,2
67,1.1169571224904062,8,26,2
68,1.1167865272391186,7,14,2
69,1.1162056077381965,4,44,2
70,1.1168234724966004,3,48,2
71,1.112844176517576,5,38,2
72,1.1037795871774982,7,13,2
73,1.1069255023414617,5,39,2
74,1.1050440133450148,7,22,2
75,1.1024430511172036,8,16,2
76,1.104317519114894,5,42,2
77,1.099036627279556,8,23,2
78,1.0949008729670702,4,34,2
79,1.0930756743256742,5,48,2
80,1.0882950446354533,6,24,2
81,1.0896270760534053,5,43,2
82,1.0855119104635262,5,28,1
83,1.0887574714866164,7,46,2
84,1.0847336725041115,5,32,1
85,1.0807327515737306,10,17,2
86,1.084085222256513,5,43,1
87,1.0785512199062182,7,39,1
88,1.072025876773648,7,13,4
89,1.073124794830142,3,49,5
90,1.0686117113698028,5,42,2
91,1.0676031374707582,4,41,2
92,1.062652826811636,6,34,2
93,1.0527369514970064,6,29,1
94,1.0524897669799613,6,44,2
95,1.0298844066539712,3,21,19
96,1.0356462614414428,4,35,2
97,1.033289687411583,5,44,2
98,1.0257010771540707,8,14,2
99,1.032903837425627,3,50,4
100,1.0246801750702337,10,14,1
101,1.0290022173176712,5,37,2
102,1.0085618020724563,9,21,2
103,1.0043474294210142,7,24,2
104,1.0033396179263585,8,19,2
105,1.0040920976608037,5,38,3
106,0.9979180958204577,4,31,4
107,0.9927155034976016,11,13,1
108,0.9941249254496752,4,42,4
109,0.9972288934047663,3,58,1
110,0.9891702882235816,7,17,2
111,0.989030150091479,4,42,4
112,0.9760621785727387,9,18,2
113,0.9683318121239247,3,22,16
114,0.9700732153687797,5,28,4
115,0.9552938352268467,6,26,2
116,0.952082417172661,7,24,2
117,0.9523132554884096,3,32,11
118,0.9196556654235016,9,13,2
119,0.9072538884551047,13,12,1
120,0.9080717091619162,7,22,2
121,0.7788016688381032,8,19,2
