No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9376057633462682,0.949780128902953,3,20,20
1,1.4662877834126147,1.4930779312148095,12,8,3
2,1.4662877834126147,1.4930779312148095,12,8,3
3,1.4662877834126147,1.4930779312148095,12,8,3
4,1.4662877834126147,1.4930779312148095,12,8,3
5,1.4662877834126147,1.4930779312148095,12,8,3
6,1.4662877834126147,1.4930779312148095,12,8,3
7,1.4662877834126147,1.4930779312148095,12,8,3
8,1.4662877834126147,1.4930779312148095,12,8,3
9,1.4662877834126147,1.4930779312148095,12,8,3
10,1.4662877834126147,1.4930779312148095,12,8,3
11,1.4662877834126147,1.4930779312148095,12,8,3
12,1.4662877834126147,1.4930779312148095,12,8,3
13,1.4662877834126147,1.4930779312148095,12,8,3
14,1.4662877834126147,1.4930779312148095,12,8,3
15,1.4662877834126147,1.4930779312148095,12,8,3
16,1.4662877834126147,1.4930779312148095,12,8,3
17,1.4662877834126147,1.4930779312148095,12,8,3
18,1.4662877834126147,1.4930779312148095,12,8,3
19,1.4662877834126147,1.4930779312148095,12,8,3
20,1.4662877834126147,1.4930779312148095,12,8,3
21,1.4662877834126147,1.4930779312148095,12,8,3
22,1.4662877834126147,1.4930779312148095,12,8,3
23,1.4662877834126147,1.4930779312148095,12,8,3
24,1.4662877834126147,1.4930779312148095,12,8,3
25,1.4662877834126147,1.4930779312148095,12,8,3
26,1.4662877834126147,1.4930779312148095,12,8,3
27,1.4662877834126147,1.4930779312148095,12,8,3
28,1.4662877834126147,1.4930779312148095,12,8,3
29,1.4662877834126147,1.4930779312148095,12,8,3
30,1.4662877834126147,1.4930779312148095,12,8,3
31,1.4662877834126147,1.4930779312148095,12,8,3
32,1.4662877834126147,1.4930779312148095,12,8,3
33,1.4662877834126147,1.4930779312148095,12,8,3
34,1.4662877834126147,1.4930779312148095,12,8,3
35,1.4662877834126147,1.4930779312148095,12,8,3
36,1.4662877834126147,1.4930779312148095,12,8,3
37,1.4662877834126147,1.4930779312148095,12,8,3
38,1.4662877834126147,1.4930779312148095,12,8,3
39,1.4662877834126147,1.4930779312148095,12,8,3
40,1.4662877834126147,1.4930779312148095,12,8,3
41,1.4662877834126147,1.4930779312148095,12,8,3
42,1.4662877834126147,1.4930779312148095,12,8,3
43,1.4662877834126147,1.4930779312148095,12,8,3
44,1.4662877834126147,1.4930779312148095,12,8,3
45,1.4662877834126147,1.4930779312148095,12,8,3
46,1.4662877834126147,1.4930779312148095,12,8,3
47,1.4662877834126147,1.4930779312148095,12,8,3
48,1.4662877834126147,1.4930779312148095,12,8,3
49,1.4662877834126147,1.4930779312148095,12,8,3
50,1.4662877834126147,1.4930779312148095,12,8,3
51,1.4662877834126147,1.4930779312148095,12,8,3
52,1.4662877834126147,1.4930779312148095,12,8,3
53,1.4662877834126147,1.4930779312148095,12,8,3
54,1.4662877834126147,1.4930779312148095,12,8,3
55,1.4662877834126147,1.4930779312148095,12,8,3
56,1.4662877834126147,1.4930779312148095,12,8,3
57,1.4662877834126147,1.4930779312148095,12,8,3
58,1.4662877834126147,1.4930779312148095,12,8,3
59,1.4662877834126147,1.4930779312148095,12,8,3
60,1.4662877834126147,1.4930779312148095,12,8,3
61,1.4662877834126147,1.4930779312148095,12,8,3
62,1.4662877834126147,1.4930779312148095,12,8,3
63,1.4662877834126147,1.4930779312148095,12,8,3
64,1.4662877834126147,1.4930779312148095,12,8,3
65,1.4662877834126147,1.4930779312148095,12,8,3
66,1.4662877834126147,1.4930779312148095,12,8,3
67,1.4662877834126147,1.4930779312148095,12,8,3
68,1.4662877834126147,1.4930779312148095,12,8,3
69,1.4662877834126147,1.4930779312148095,12,8,3
70,1.4662877834126147,1.4930779312148095,12,8,3
71,1.4662877834126147,1.4930779312148095,12,8,3
72,1.4662877834126147,1.4930779312148095,12,8,3
73,1.4662877834126147,1.4930779312148095,12,8,3
74,1.4662877834126147,1.4930779312148095,12,8,3
75,1.4662877834126147,1.4930779312148095,12,8,3
76,1.4662877834126147,1.4930779312148095,12,8,3
77,1.4662877834126147,1.4930779312148095,12,8,3
78,1.4662877834126147,1.4930779312148095,12,8,3
79,1.4662877834126147,1.4930779312148095,12,8,3
80,1.4662877834126147,1.4930779312148095,12,8,3
81,1.4662877834126147,1.4930779312148095,12,8,3
82,1.4662877834126147,1.4930779312148095,12,8,3
83,1.4662877834126147,1.4930779312148095,12,8,3
84,1.4662877834126147,1.4930779312148095,12,8,3
85,1.4662877834126147,1.4930779312148095,12,8,3
86,1.4662877834126147,1.4930779312148095,12,8,3
87,1.4662877834126147,1.4930779312148095,12,8,3
88,1.4662877834126147,1.4930779312148095,12,8,3
89,1.4662877834126147,1.4930779312148095,12,8,3
90,1.4662877834126147,1.4930779312148095,12,8,3
91,1.4662877834126147,1.4930779312148095,12,8,3
92,1.4662877834126147,1.4930779312148095,12,8,3
93,1.4662877834126147,1.4930779312148095,12,8,3
94,1.4662877834126147,1.4930779312148095,12,8,3
95,1.4662877834126147,1.4930779312148095,12,8,3
96,1.4662877834126147,1.4930779312148095,12,8,3
97,1.4662877834126147,1.4930779312148095,12,8,3
98,1.4662877834126147,1.4930779312148095,12,8,3
99,1.4662877834126147,1.4930779312148095,12,8,3
100,1.4662877834126147,1.4930779312148095,12,8,3
101,1.4662877834126147,1.4930779312148095,12,8,3
102,1.4662877834126147,1.4930779312148095,12,8,3
103,1.4662877834126147,1.4930779312148095,12,8,3
104,1.4662877834126147,1.4930779312148095,12,8,3
105,1.4662877834126147,1.4930779312148095,12,8,3
106,1.4662877834126147,1.4930779312148095,12,8,3
107,1.4662877834126147,1.4930779312148095,12,8,3
108,1.4662877834126147,1.4930779312148095,12,8,3
109,1.4662877834126147,1.4930779312148095,12,8,3
110,1.4662877834126147,1.4930779312148095,12,8,3
111,1.4662877834126147,1.4930779312148095,12,8,3
112,1.4662877834126147,1.4930779312148095,12,8,3
113,1.4662877834126147,1.4930779312148095,12,8,3
114,1.4662877834126147,1.4930779312148095,12,8,3
115,1.4662877834126147,1.4930779312148095,12,8,3
116,1.4662877834126147,1.4930779312148095,12,8,3
117,1.4662877834126147,1.4930779312148095,12,8,3
118,1.4662877834126147,1.4930779312148095,12,8,3
119,1.4662877834126147,1.4930779312148095,12,8,3
120,1.4662877834126147,1.4930779312148095,12,8,3
121,1.4662877834126147,1.4930779312148095,12,8,3
122,1.4662877834126147,1.4930779312148095,12,8,3
123,1.4662877834126147,1.4930779312148095,12,8,3
124,1.4662877834126147,1.4930779312148095,12,8,3
125,1.4662877834126147,1.4930779312148095,12,8,3
126,1.4662877834126147,1.4930779312148095,12,8,3
127,1.4662877834126147,1.4930779312148095,12,8,3
128,1.4662877834126147,1.4930779312148095,12,8,3
129,1.4662877834126147,1.4930779312148095,12,8,3
130,1.4662877834126147,1.4930779312148095,12,8,3
131,1.4662877834126147,1.4930779312148095,12,8,3
132,1.4662877834126147,1.4930779312148095,12,8,3
133,1.4662877834126147,1.4930779312148095,12,8,3
134,1.4662877834126147,1.4930779312148095,12,8,3
135,1.4662877834126147,1.4930779312148095,12,8,3
136,1.4662877834126147,1.4930779312148095,12,8,3
137,1.4662877834126147,1.4930779312148095,12,8,3
138,1.4662877834126147,1.4930779312148095,12,8,3
139,1.4662877834126147,1.4930779312148095,12,8,3
140,1.4662877834126147,1.4930779312148095,12,8,3
141,1.4662877834126147,1.4930779312148095,12,8,3
142,1.4662877834126147,1.4930779312148095,12,8,3
143,1.4662877834126147,1.4930779312148095,12,8,3
144,1.4662877834126147,1.4930779312148095,12,8,3
145,1.4662877834126147,1.4930779312148095,12,8,3
146,1.4662877834126147,1.4930779312148095,12,8,3
147,1.4662877834126147,1.4930779312148095,12,8,3
148,1.4662877834126147,1.4930779312148095,12,8,3
149,1.4662877834126147,1.4930779312148095,12,8,3
150,1.4662877834126147,1.4930779312148095,12,8,3
151,1.4662877834126147,1.4930779312148095,12,8,3
152,1.4662877834126147,1.4930779312148095,12,8,3
153,1.4662877834126147,1.4930779312148095,12,8,3
154,1.4662877834126147,1.4930779312148095,12,8,3
155,1.4662877834126147,1.4930779312148095,12,8,3
156,1.4662877834126147,1.4930779312148095,12,8,3
157,1.4662877834126147,1.4930779312148095,12,8,3
158,1.4662877834126147,1.4930779312148095,12,8,3
159,1.4662877834126147,1.4930779312148095,12,8,3
160,1.4662877834126147,1.4930779312148095,12,8,3
161,1.4662877834126147,1.4930779312148095,12,8,3
162,1.4662877834126147,1.4930779312148095,12,8,3
163,1.4662877834126147,1.4930779312148095,12,8,3
164,1.4662877834126147,1.4930779312148095,12,8,3
165,1.4662877834126147,1.4930779312148095,12,8,3
166,1.4662877834126147,1.4930779312148095,12,8,3
167,1.4662877834126147,1.4930779312148095,12,8,3
168,1.4662877834126147,1.4930779312148095,12,8,3
169,1.4662877834126147,1.4930779312148095,12,8,3
170,1.4662877834126147,1.4930779312148095,12,8,3
171,1.4662877834126147,1.4930779312148095,12,8,3
172,1.4662877834126147,1.4930779312148095,12,8,3
173,1.4662877834126147,1.4930779312148095,12,8,3
174,1.4662877834126147,1.4930779312148095,12,8,3
175,1.4662877834126147,1.4930779312148095,12,8,3
176,1.4662877834126147,1.4930779312148095,12,8,3
177,1.4662877834126147,1.4930779312148095,12,8,3
178,1.4662877834126147,1.4930779312148095,12,8,3
179,1.4662877834126147,1.4930779312148095,12,8,3
180,1.4662877834126147,1.4930779312148095,12,8,3
181,1.4662877834126147,1.4930779312148095,12,8,3
182,1.4662877834126147,1.4930779312148095,12,8,3
183,1.4662877834126147,1.4930779312148095,12,8,3
184,1.4662877834126147,1.4930779312148095,12,8,3
185,1.4662877834126147,1.4930779312148095,12,8,3
186,1.4662877834126147,1.4930779312148095,12,8,3
187,1.4662877834126147,1.4930779312148095,12,8,3
188,1.4662877834126147,1.4930779312148095,12,8,3
189,1.4662877834126147,1.4930779312148095,12,8,3
190,1.4662877834126147,1.4930779312148095,12,8,3
191,1.4662877834126147,1.4930779312148095,12,8,3
192,1.4662877834126147,1.4930779312148095,12,8,3
193,1.4662877834126147,1.4930779312148095,12,8,3
194,1.4662877834126147,1.4930779312148095,12,8,3
195,1.4662877834126147,1.4930779312148095,12,8,3
196,1.4662877834126147,1.4930779312148095,12,8,3
197,1.4662877834126147,1.4930779312148095,12,8,3
198,1.4662877834126147,1.4930779312148095,12,8,3
199,1.4662877834126147,1.4930779312148095,12,8,3
200,1.4662877834126147,1.4930779312148095,12,8,3
201,1.4662877834126147,1.4930779312148095,12,8,3
202,1.4662877834126147,1.4930779312148095,12,8,3
203,1.4662877834126147,1.4930779312148095,12,8,3
