,mq,No. Clus,Max clus,Min clus
0,1.9424328462109426,15,7,2
1,1.9424328462109426,15,7,2
2,1.9424328462109426,15,7,2
3,1.502376265099932,8,19,2
4,1.495071531784559,10,13,3
5,1.467699838002705,9,11,1
6,1.425989498720751,8,16,1
7,1.4227532224109543,8,11,4
8,1.4124921901291434,9,12,3
9,1.4095041241498745,7,12,5
10,1.4062897644171168,9,11,2
11,1.4032211792139022,7,14,3
12,1.3948599555754393,6,20,4
13,1.3776855901369223,9,17,2
14,1.3776855901369223,9,17,2
15,1.370445456078086,6,21,3
16,1.370445456078086,6,21,3
17,1.3729506191304828,4,44,4
18,1.3621788812756066,7,12,3
19,1.357864181948542,9,12,3
20,1.357864181948542,9,12,3
21,1.357864181948542,9,12,3
22,1.3327074351057133,7,23,2
23,1.3249691056384196,6,33,4
24,1.320204526023948,7,21,4
25,1.319205139512235,4,40,4
26,1.3161287904982126,11,9,3
27,1.3166448004533615,6,19,5
28,1.3112355668861368,6,32,4
29,1.296788849070712,9,9,3
30,1.3012682421884862,4,39,5
31,1.2947982596161836,10,12,3
32,1.3009913256367596,5,44,1
33,1.2986950167913245,5,44,1
34,1.297798528227811,5,44,1
35,1.2834727487086932,10,12,3
36,1.2781805296910933,9,12,3
37,1.2824732688220823,5,38,2
38,1.2645978082795002,14,7,2
39,1.265719889555587,8,25,2
40,1.2625415489580816,8,12,3
41,1.2627058730783816,4,35,3
42,1.2571828946673047,8,11,4
43,1.2584159538095065,3,42,5
44,1.2537674239403993,7,18,4
45,1.252696310804472,6,27,1
46,1.2475523020413954,7,20,3
47,1.246841590744976,6,17,3
48,1.2436865612065433,8,20,2
49,1.2422151979201366,9,14,2
50,1.238679099009103,8,20,3
51,1.2339185808040867,10,12,2
52,1.2337419232962046,4,38,2
53,1.2334326580035175,5,33,3
54,1.2317253998030788,3,40,4
55,1.2265271542598009,9,12,3
56,1.2255075894072935,8,18,2
57,1.2241066591754195,10,11,2
58,1.222582454633219,9,13,3
59,1.221170776106852,7,21,4
60,1.2188765797564032,5,15,7
61,1.2095219145380667,11,12,3
62,1.2158781937374994,5,33,3
63,1.2108621811897262,3,53,3
64,1.2106202295205941,4,52,1
65,1.1987974804770303,10,14,2
66,1.201420999755302,6,38,2
67,1.196330714450906,12,9,1
68,1.189886577160986,8,18,4
69,1.1880343116160441,6,17,4
70,1.185753302493217,6,18,4
71,1.1818100714618838,7,19,1
72,1.1819008706513912,5,40,3
73,1.1784124831765015,8,18,3
74,1.1762528500537996,10,9,3
75,1.1804389575306498,3,53,3
76,1.1767266205760576,7,14,3
77,1.1720107750244126,13,14,2
78,1.1756069803510718,3,50,5
79,1.171348140656336,7,20,2
80,1.1619346575718426,10,10,1
81,1.1615591702540293,5,35,4
82,1.153774992486506,9,23,2
83,1.1523242554383015,7,21,3
84,1.1468739999713946,9,10,4
85,1.1458283905744946,6,29,3
86,1.1450718664567074,5,33,3
87,1.141851572478929,4,27,4
88,1.139796310320278,8,16,2
89,1.1388297152775575,4,39,4
90,1.1337230445500257,5,25,4
91,1.1240316779993558,6,21,4
92,1.1236928167379443,5,21,4
93,1.1206417229952694,7,14,4
94,1.0994506453520887,10,10,1
95,1.0908267491772548,10,11,3
96,1.0897439180618418,7,23,3
97,1.0892918019367985,3,44,5
98,1.0878079665257816,6,21,3
99,1.0875562436930575,9,17,2
100,1.0845411393973934,10,11,2
101,1.0822757752107928,6,22,2
102,1.079655179398062,6,14,4
103,1.0788715395177293,7,17,3
104,1.0774250541500245,11,13,2
105,1.075864613830908,3,43,3
106,1.0680499813684705,3,47,3
107,1.0651229045551462,7,18,4
108,1.0516630118332158,14,8,2
109,1.0442085670513086,8,18,4
110,1.0232428250235082,10,17,2
111,1.0247798837315676,4,31,9
112,1.0173478333660346,12,9,3
113,0.9992491431413273,6,33,4
114,0.9809166272323138,8,19,2
115,0.9280423896811775,9,15,4
116,0.9104402477625985,3,28,14
117,0.9097553563612549,11,25,2
118,0.9091414191175161,7,21,2
119,0.8732534090757476,7,22,2
120,0.8596650003320793,14,6,2
121,0.8030814595507133,12,8,1
