No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9695578695504237,1.0342223655532843,4,15,15
1,0.9695578695504237,1.0342223655532843,4,15,15
2,0.9999997935166787,1.070412206618387,3,20,20
3,1.0261845506089107,1.10047850631024,3,20,20
4,1.0261845506089107,1.10047850631024,3,20,20
5,1.0261845506089107,1.10047850631024,3,20,20
6,1.0481124423628045,1.125656916893192,3,20,20
7,1.0481124423628045,1.125656916893192,3,20,20
8,1.0481124423628045,1.125656916893192,3,20,20
9,1.0873558060582245,1.170717588245874,3,20,20
10,1.0873558060582245,1.170717588245874,3,20,20
11,1.0873558060582245,1.170717588245874,3,20,20
12,1.100296841759148,1.1855769606790967,3,20,20
13,1.100296841759148,1.1855769606790967,3,20,20
14,1.1029827854631256,1.1886610598775262,3,20,20
15,1.1029827854631256,1.1886610598775262,3,20,20
16,1.1123446273781104,1.199410670564852,3,20,20
17,1.1123446273781104,1.199410670564852,3,20,20
18,1.1123446273781104,1.199410670564852,3,20,20
19,1.1360308274472455,1.2266080353267759,3,20,20
20,1.1360308274472455,1.2266080353267759,3,20,20
21,1.1360308274472455,1.2266080353267759,3,20,20
22,1.1360308274472455,1.2266080353267759,3,20,20
23,1.1360308274472455,1.2266080353267759,3,20,20
24,1.1360308274472455,1.2266080353267759,3,20,20
25,1.1360308274472455,1.2266080353267759,3,20,20
26,1.1360308274472455,1.2266080353267759,3,20,20
27,1.1360308274472455,1.2266080353267759,3,20,20
28,1.1360308274472455,1.2266080353267759,3,20,20
29,1.1360308274472455,1.2266080353267759,3,20,20
30,1.1360308274472455,1.2266080353267759,3,20,20
31,1.1360308274472455,1.2266080353267759,3,20,20
32,1.1360308274472455,1.2266080353267759,3,20,20
33,1.1360308274472455,1.2266080353267759,3,20,20
34,1.1360308274472455,1.2266080353267759,3,20,20
35,1.1360308274472455,1.2266080353267759,3,20,20
36,1.1360308274472455,1.2266080353267759,3,20,20
37,1.1360308274472455,1.2266080353267759,3,20,20
38,1.1360308274472455,1.2266080353267759,3,20,20
39,1.1360308274472455,1.2266080353267759,3,20,20
40,1.1360308274472455,1.2266080353267759,3,20,20
41,1.1360308274472455,1.2266080353267759,3,20,20
42,1.1360308274472455,1.2266080353267759,3,20,20
43,1.1360308274472455,1.2266080353267759,3,20,20
44,1.1360308274472455,1.2266080353267759,3,20,20
45,1.1360308274472455,1.2266080353267759,3,20,20
46,1.1360308274472455,1.2266080353267759,3,20,20
47,1.1360308274472455,1.2266080353267759,3,20,20
48,1.1360308274472455,1.2266080353267759,3,20,20
49,1.1360308274472455,1.2266080353267759,3,20,20
50,1.1360308274472455,1.2266080353267759,3,20,20
51,1.1360308274472455,1.2266080353267759,3,20,20
52,1.1360308274472455,1.2266080353267759,3,20,20
53,1.1360308274472455,1.2266080353267759,3,20,20
54,1.1360308274472455,1.2266080353267759,3,20,20
55,1.1360308274472455,1.2266080353267759,3,20,20
56,1.1360308274472455,1.2266080353267759,3,20,20
57,1.1360308274472455,1.2266080353267759,3,20,20
58,1.1360308274472455,1.2266080353267759,3,20,20
59,1.1360308274472455,1.2266080353267759,3,20,20
60,1.1360308274472455,1.2266080353267759,3,20,20
61,1.1360308274472455,1.2266080353267759,3,20,20
62,1.1360308274472455,1.2266080353267759,3,20,20
63,1.1360308274472455,1.2266080353267759,3,20,20
64,1.1360308274472455,1.2266080353267759,3,20,20
