No_gen, Best, MQ, No_clus, max_clus, min_clus
0,0.9770658648534977,0.9904045420687421,3,20,20
1,1.0079088282915587,1.0238787456210505,4,18,10
2,1.0172071693731357,1.0314843741205648,4,15,15
3,1.0671279498132953,1.083124003251803,3,20,20
4,1.1668778965142625,1.1858171766918943,3,20,20
5,1.1668778965142625,1.1858171766918943,3,20,20
6,1.1668778965142625,1.1858171766918943,3,20,20
7,1.1744960025660216,1.1936600629483007,3,20,20
8,1.1744960025660216,1.1936600629483007,3,20,20
9,1.2152466018646157,1.2358589351308569,6,12,8
10,1.2152466018646157,1.2358589351308569,6,12,8
11,1.2152466018646157,1.2358589351308569,6,12,8
12,1.2152466018646157,1.2358589351308569,6,12,8
13,1.2152466018646157,1.2358589351308569,6,12,8
14,1.2152466018646157,1.2358589351308569,6,12,8
15,1.2244817305006952,1.2453665559179592,6,12,8
16,1.2244817305006952,1.2453665559179592,6,12,8
17,1.2244817305006952,1.2453665559179592,6,12,8
18,1.2244817305006952,1.2453665559179592,6,12,8
19,1.2244817305006952,1.2453665559179592,6,12,8
20,1.2244817305006952,1.2453665559179592,6,12,8
21,1.2244817305006952,1.2453665559179592,6,12,8
22,1.2244817305006952,1.2453665559179592,6,12,8
23,1.2244817305006952,1.2453665559179592,6,12,8
24,1.3015353445789384,1.325185485120766,6,13,7
25,1.3015353445789384,1.325185485120766,6,13,7
26,1.3015353445789384,1.325185485120766,6,13,7
27,1.3015353445789384,1.325185485120766,6,13,7
28,1.3015353445789384,1.325185485120766,6,13,7
29,1.3015353445789384,1.325185485120766,6,13,7
30,1.3015353445789384,1.325185485120766,6,13,7
31,1.3015353445789384,1.325185485120766,6,13,7
32,1.3015353445789384,1.325185485120766,6,13,7
33,1.3295320075381276,1.3540082189677398,6,13,7
34,1.3295320075381276,1.3540082189677398,6,13,7
35,1.3295320075381276,1.3540082189677398,6,13,7
36,1.3295320075381276,1.3540082189677398,6,13,7
37,1.355266112928806,1.3805016361134443,6,13,7
38,1.355266112928806,1.3805016361134443,6,13,7
39,1.355266112928806,1.3805016361134443,6,13,7
40,1.355266112928806,1.3805016361134443,6,13,7
41,1.355266112928806,1.3805016361134443,6,13,7
42,1.355266112928806,1.3805016361134443,6,13,7
43,1.355266112928806,1.3805016361134443,6,13,7
44,1.355266112928806,1.3805016361134443,6,13,7
45,1.3803681389115405,1.406344323685704,6,13,7
46,1.3803681389115405,1.406344323685704,6,13,7
47,1.398298684293442,1.4248039286045824,6,13,7
48,1.398298684293442,1.4248039286045824,6,13,7
49,1.398298684293442,1.4248039286045824,6,13,7
50,1.4061741097251816,1.432911726719008,6,13,7
51,1.4061741097251816,1.432911726719008,6,13,7
52,1.4061741097251816,1.432911726719008,6,13,7
53,1.4061741097251816,1.432911726719008,6,13,7
54,1.4073732984383127,1.4341462987521554,6,13,7
55,1.408252036368739,1.4350509647663456,6,13,7
56,1.408252036368739,1.4350509647663456,6,13,7
57,1.4719534073686218,1.4996483765505193,6,11,9
58,1.4719534073686218,1.4996483765505193,6,11,9
59,1.4719534073686218,1.4996483765505193,6,11,9
60,1.4719534073686218,1.4996483765505193,6,11,9
61,1.4719534073686218,1.4996483765505193,6,11,9
62,1.4945338558482841,1.5228950848322644,6,11,9
63,1.5117316833036516,1.5415838871553993,6,13,7
64,1.5117316833036516,1.5415838871553993,6,13,7
65,1.5117316833036516,1.5415838871553993,6,13,7
66,1.5319388061064978,1.562387242298423,6,13,7
67,1.5319388061064978,1.562387242298423,6,13,7
68,1.5319388061064978,1.562387242298423,6,13,7
69,1.5319388061064978,1.562387242298423,6,13,7
70,1.5535121897227078,1.5845971712122757,6,13,7
71,1.5535121897227078,1.5845971712122757,6,13,7
72,1.5535121897227078,1.5845971712122757,6,13,7
73,1.5535121897227078,1.5845971712122757,6,13,7
74,1.5535121897227078,1.5845971712122757,6,13,7
75,1.5535121897227078,1.5845971712122757,6,13,7
76,1.5535121897227078,1.5845971712122757,6,13,7
77,1.5535121897227078,1.5845971712122757,6,13,7
78,1.5535121897227078,1.5845971712122757,6,13,7
79,1.5597269015603583,1.5909952546371948,6,13,7
80,1.5597269015603583,1.5909952546371948,6,13,7
81,1.5597269015603583,1.5909952546371948,6,13,7
82,1.5597269015603583,1.5909952546371948,6,13,7
83,1.5597269015603583,1.5909952546371948,6,13,7
84,1.5597269015603583,1.5909952546371948,6,13,7
85,1.5597269015603583,1.5909952546371948,6,13,7
86,1.5597269015603583,1.5909952546371948,6,13,7
87,1.5597269015603583,1.5909952546371948,6,13,7
88,1.5757405215746974,1.6074813732961464,6,13,7
89,1.5757405215746974,1.6074813732961464,6,13,7
