,mq,No. Clus,Max clus,Min clus
0,1.9685232210595878,18,11,2
1,1.7079582068263865,18,10,2
2,1.6722758037772834,21,6,2
3,1.606088923253135,16,19,2
4,1.567010265667741,22,6,2
5,1.5658845110624915,23,3,2
6,1.5238108309639633,23,4,2
7,1.5222653033473335,10,39,2
8,1.492485494982593,20,13,2
9,1.4664778291884681,23,3,2
10,1.4667282602833358,23,4,2
11,1.4570797784721272,23,3,2
12,1.4545710356881674,24,3,2
13,1.4509643857779497,10,39,2
14,1.442475816624573,23,3,2
15,1.430463059003152,24,3,2
16,1.406265532235596,22,4,2
17,1.41298784786451,13,30,2
18,1.3982372324205266,21,5,2
19,1.3766612327634027,23,3,2
20,1.3713264348318956,22,3,2
21,1.3734058974093766,15,23,2
22,1.3677078041751476,24,3,2
23,1.355666987832399,22,4,2
24,1.3540926967940883,22,4,2
25,1.342279953746829,23,3,2
26,1.3337919887850958,24,3,2
27,1.3274556308725092,22,4,2
28,1.3226325567388206,23,3,2
29,1.3223959404029428,23,3,2
30,1.3146668518912543,25,3,2
31,1.3197242541403664,18,19,2
32,1.316321310358732,23,3,2
33,1.3129711673229032,13,29,2
34,1.3079905231528475,23,3,2
35,1.3011485138611205,22,4,2
36,1.2952099575373062,24,3,2
37,1.2891752382131763,24,3,2
38,1.281937870124942,22,4,2
39,1.278638457171386,23,3,2
40,1.2724782489384188,23,4,2
41,1.2724782489384188,23,4,2
42,1.2671052137575254,25,3,2
43,1.269571209405032,22,4,2
44,1.268250531296522,24,3,2
45,1.261385009275957,24,4,2
46,1.2626286414561463,21,5,2
47,1.2517357058696708,24,3,2
48,1.2502725014397227,21,3,2
49,1.2473094941389222,22,3,2
50,1.2442828457567494,23,4,2
51,1.2365061081441167,21,9,2
52,1.2363860372339421,19,9,2
53,1.2255927683659065,20,7,2
54,1.2332015995975505,17,18,2
55,1.2092864125299903,21,9,2
56,1.1975657359341043,21,4,2
57,1.191411526312777,22,3,2
58,1.1950518634193759,7,38,2
59,1.1931593759788297,10,34,2
60,1.1889481170712033,23,3,2
61,1.1843304281303928,24,3,2
62,1.1712686153455714,21,4,2
63,1.1670280492996314,10,36,2
64,1.166571274085188,20,10,2
65,1.1529229412832869,24,3,2
66,1.1510875881151248,25,3,2
67,1.1404162646728686,23,3,2
68,1.1284318672332307,22,4,2
69,1.1353457485966325,5,49,2
70,1.111979979527623,21,3,2
71,1.1349969491728849,5,50,2
72,1.1283074445501118,9,40,2
73,1.100512856651531,24,4,1
74,1.1164920822148712,10,35,2
75,1.1005864278464856,18,16,2
76,1.0986085916224566,22,5,2
77,1.1109194075909534,12,33,2
78,1.0932039909687497,23,3,2
79,1.0994253789250181,10,35,2
80,1.0885971525568032,22,6,2
81,1.089187175063388,5,37,2
82,1.0765685541810373,24,4,2
83,1.0882351964660704,10,39,2
84,1.0763200644261897,23,3,2
85,1.0830020711612012,7,39,2
86,1.0538802179719877,20,9,2
87,1.065163668517874,7,29,2
88,1.0599162209992785,15,24,2
89,1.0473388396522383,17,16,2
90,1.0456286282475125,5,26,3
91,1.0419788818063414,13,25,2
92,1.0287975890648893,12,30,2
93,0.9952234335859758,23,5,2
94,1.0168753462899875,9,39,2
95,0.999974826305099,18,14,2
96,1.0071777996233477,14,25,2
97,0.9824906814394712,24,3,2
98,0.9826001201923189,21,14,2
99,0.9917989991567866,13,27,2
100,0.9831388789564534,16,20,2
101,0.9814807905759786,16,20,2
102,0.9782539535284025,9,41,2
103,0.9494450440457785,18,17,2
104,0.9638847578704869,10,36,2
105,0.9233101351223956,23,3,2
106,0.9593663885108066,6,39,2
107,0.9223180813134084,21,11,2
108,0.9524363072750169,4,52,2
109,0.931653681266827,13,30,2
110,0.9109446200714743,18,14,2
111,0.9218866397792592,14,26,2
112,0.9004995004995004,6,45,3
113,0.8838277545749008,14,18,2
114,0.880721571745994,19,8,2
115,0.8945923628064167,11,32,2
116,0.8475745251213965,19,17,2
117,0.8718665694355057,11,30,3
118,0.8599609732782054,7,44,2
119,0.797904396533492,13,28,2
