,mq,No. Clus,Max clus,Min clus
0,1.891108493466708,14,9,2
1,1.891108493466708,14,9,2
2,1.8087914202959763,14,7,2
3,1.7514026111137668,15,7,1
4,1.7514026111137668,14,7,2
5,1.6983370298610256,15,7,3
6,1.6879752014559677,16,7,2
7,1.6385574730585446,13,10,3
8,1.61474909090341,17,7,2
9,1.5816611791084347,18,6,2
10,1.5410282225226957,16,9,2
11,1.51252765764261,8,31,3
12,1.5022299264729833,13,7,2
13,1.4749180203801335,19,4,2
14,1.4605238897353805,12,12,3
15,1.4592712097500937,19,5,1
16,1.439941920067051,18,7,2
17,1.4045961993184464,16,7,2
18,1.4024157835723308,18,7,2
19,1.3914128101369716,18,6,2
20,1.39245803197838,14,7,2
21,1.384061579059429,18,4,2
22,1.3776725301375374,20,5,2
23,1.3744310345677753,19,4,2
24,1.3741305883047727,19,4,2
25,1.369304659748848,17,7,1
26,1.369304659748848,17,7,1
27,1.3447168172691204,18,6,2
28,1.3447168172691204,18,6,2
29,1.3255175539628856,18,5,2
30,1.3300206759725666,4,47,3
31,1.320948774420934,20,4,2
32,1.3240805698078684,6,28,3
33,1.3187063425128072,18,4,2
34,1.3159297362522133,9,22,3
35,1.3105897618950906,19,4,2
36,1.3132599929552524,18,6,1
37,1.3148957206063134,13,11,1
38,1.3067553208051517,13,11,2
39,1.2776255113292028,18,7,2
40,1.2756803902622265,16,7,1
41,1.2732280995935694,15,7,2
42,1.2739907862880575,6,38,4
43,1.2573783810525518,19,4,2
44,1.2552872314099812,21,4,2
45,1.2614862358133498,16,6,2
46,1.2415559209804012,18,4,2
47,1.2415559209804012,18,4,2
48,1.2415559209804012,18,4,2
49,1.2411789224248286,15,10,2
50,1.2259973802293778,18,5,2
51,1.227543997844372,13,13,2
52,1.237973427105592,11,24,2
53,1.2220330314332652,9,18,2
54,1.225437506331081,6,31,1
55,1.2196153138292996,15,7,3
56,1.2193343964027261,10,22,3
57,1.2248380005352106,5,50,2
58,1.2117663635369293,10,13,2
59,1.2050083032656567,18,7,2
60,1.2238202743342845,3,44,3
61,1.2047228949255153,14,15,2
62,1.2177752847034047,4,41,3
63,1.2094779136071745,4,50,2
64,1.2009363294301407,9,21,2
65,1.1831117862549043,13,7,3
66,1.1862172616656643,9,36,3
67,1.1810482617282292,18,9,1
68,1.187938037888082,6,45,2
69,1.1527743747591985,22,4,2
70,1.1767193488368208,7,33,2
71,1.1593830066154898,16,6,3
72,1.140682923233724,9,20,2
73,1.1270909155925921,17,13,1
74,1.1443045720260097,7,37,3
75,1.1604070725090532,4,52,2
76,1.094148188317243,16,10,1
77,1.1351186136887215,6,40,2
78,1.1083236831223897,10,20,3
79,1.093540031600177,18,4,2
80,1.0876652448051165,14,7,3
81,1.1193337454473016,10,32,2
82,1.0742483430214165,18,4,2
83,1.1042703287948994,12,26,2
84,1.1054738743910195,8,35,1
85,1.0924269366860428,10,22,2
86,1.0699827190146145,19,7,2
87,1.0880308540699712,12,18,3
88,1.0817691836197074,13,22,2
89,1.0655312282381462,17,11,2
90,1.0911473412309305,9,35,3
91,1.069807609225194,12,13,1
92,1.0866758087221862,3,53,3
93,1.0735723269756907,9,28,3
94,1.0575350312379557,13,22,2
95,1.0569550652171376,16,17,1
96,1.058703536437366,11,23,1
97,1.0506246737221827,13,9,2
98,1.0490362924537324,13,13,2
99,1.0430015924782532,16,14,1
100,1.0398304304237351,17,13,1
101,1.0154025553412425,18,5,2
102,1.0305563127952677,13,17,2
103,1.01348162662836,18,5,2
104,1.017872815212571,12,23,2
105,1.0064203642460423,18,4,2
106,1.0148987663078861,11,25,1
107,1.0047665154385599,17,5,2
108,0.988607568958303,17,7,2
109,0.9938571532335492,8,29,2
110,0.9777046895540569,16,7,2
111,0.9846045906168599,7,44,2
112,0.9792723440378389,13,10,2
113,0.9712985355524076,16,6,2
114,0.9475949237176735,18,7,2
115,0.9666170103678546,4,28,3
116,0.9369585504969922,16,6,2
117,0.9117318189737573,11,31,1
118,0.8776831827907694,19,4,2
119,0.804206126215469,20,4,2
