It No., Best MQ, No clusters, max clus, min clus
1,1.9024128830502176,18,6,2
2,1.891108493466708,14,9,2
3,1.9333846577624942,15,12,2
4,1.9126805316504887,12,12,1
5,1.7215610516018085,14,9,2
6,1.6998595546542117,10,24,1
7,1.8654435367693192,16,10,1
8,1.8767317427361845,16,6,1
9,1.9299294647127523,12,10,2
10,1.8317364969527412,18,7,1
11,1.8473354810666127,16,8,2
12,1.8400341851118527,15,10,2
13,1.920549915289386,12,13,2
14,1.9647550368686484,13,11,2
15,1.7536316138191732,12,13,2
16,1.9172052781088602,13,9,2
17,1.9400478677464033,13,10,2
18,1.8117052235076432,12,11,1
19,1.8186559856580247,15,9,2
20,1.8654100143655388,12,11,3
21,1.9025205964612921,13,10,2
22,1.9115278307680015,14,13,2
23,1.631333707491013,11,9,2
24,1.8757617045509913,17,7,2
25,1.648288548211072,14,7,1
26,1.8177041572834693,10,13,2
27,1.9209202683516942,17,10,2
28,1.9859783909838855,15,6,1
29,1.8693943249219762,13,10,2
30,1.774739695162366,12,10,2
31,1.8407536953570514,14,10,1
