,mq,No. Clus,Max clus,Min clus
0,1.8881465846868535,15,8,2
1,1.6419956998489103,19,4,2
2,1.636352014396194,18,5,2
3,1.6350483586784943,15,8,1
4,1.6068532468162704,19,5,2
5,1.5898857240235886,18,5,2
6,1.5768898214889568,18,5,2
7,1.557368179014877,17,6,2
8,1.54975035452302,17,7,2
9,1.5516319439302977,15,11,2
10,1.5456291068153953,17,6,2
11,1.5258384690277815,20,4,2
12,1.5330763222199026,17,7,1
13,1.515657878151132,8,18,2
14,1.5250755167905163,7,32,2
15,1.4940686787860762,20,5,1
16,1.4968457238690103,16,11,2
17,1.5012329870270775,12,14,2
18,1.5156719999070103,7,34,2
19,1.5012329870270775,12,14,2
20,1.486563307515052,17,8,1
21,1.4836735915675068,12,16,2
22,1.4856961520526581,7,33,2
23,1.4778229830601382,18,4,2
24,1.4735914540513013,13,14,2
25,1.451194480431752,21,5,1
26,1.450571987545263,15,13,2
27,1.4255685125676054,12,18,1
28,1.4125659434469233,15,12,2
29,1.4094662466967485,9,23,2
30,1.3993620341079784,6,19,3
31,1.40419799485641,9,27,2
32,1.3857493379579175,15,13,2
33,1.3894336397667266,13,18,2
34,1.385260497738591,13,19,2
35,1.388024030161369,10,21,2
36,1.3651102957316872,13,13,2
37,1.3720698340725246,9,16,2
38,1.3505036612216128,17,5,3
39,1.368127363175425,6,19,3
40,1.368127363175425,6,19,3
41,1.3441235345995382,19,4,2
42,1.3360930559518915,14,8,2
43,1.321845090008415,17,8,2
44,1.3316371860141627,11,30,2
45,1.3100032704276057,16,10,2
46,1.3177905259378524,4,43,3
47,1.2892103036195843,17,5,2
48,1.2950102475307943,15,9,2
49,1.3019090023424762,11,26,2
50,1.303310257118095,9,27,2
51,1.2890054852374908,16,10,2
52,1.3006411892285916,4,33,3
53,1.2939017921073306,9,17,3
54,1.2759365809776517,19,4,2
55,1.2945831473157843,8,34,3
56,1.2723842903710743,20,4,1
57,1.2745424810457093,18,5,2
58,1.2858398314700632,8,29,2
59,1.2632310636197193,19,4,1
60,1.267755678654705,10,14,2
61,1.25649121751373,20,5,1
62,1.2417348299307323,17,7,2
63,1.245980060120868,15,19,2
64,1.2436139421335433,17,9,2
65,1.2241706709658173,18,4,2
66,1.228262459627996,13,10,1
67,1.2294161072822642,12,24,2
68,1.2208372029780108,20,4,2
69,1.2207820679454988,17,4,3
70,1.2131707633194355,16,11,2
71,1.2166471789515771,8,18,3
72,1.210925973802681,18,6,2
73,1.1947936818289404,19,7,1
74,1.1929721953153645,8,18,3
75,1.192463971301688,14,17,2
76,1.1866076940898098,9,28,2
77,1.1688801505500586,19,5,2
78,1.1794864423934972,8,35,2
79,1.1643117472744784,18,5,2
80,1.170588362169644,5,49,2
81,1.163349982018153,14,18,2
82,1.154467514692374,16,10,2
83,1.1544155261616327,8,19,3
84,1.1510869806223702,10,18,2
85,1.1108295207929306,20,5,2
86,1.1330649358100102,11,17,3
87,1.1289163124640706,10,25,2
88,1.1095291482702951,20,4,2
89,1.1187630167438796,7,39,3
90,1.117960729787138,11,21,3
91,1.1064041559469509,21,4,1
92,1.1145201833903289,9,38,1
93,1.0922880442638205,20,6,1
94,1.0982113483583507,12,13,2
95,1.1022083618207428,3,46,2
96,1.0794744734627932,12,15,3
97,1.0506532443833807,16,8,1
98,1.0678564130462362,12,20,2
99,1.0789956780432586,7,31,3
100,1.0192417298246668,19,4,2
101,1.0612872023203832,3,32,5
102,1.0123520271115345,19,4,2
103,1.0333952395608104,11,26,2
104,1.034919520488024,4,32,5
105,1.0179572671015302,9,18,2
106,0.9992086871662766,19,6,2
107,0.9920551505305302,6,43,2
108,0.9528936197717772,18,5,2
109,0.9920551505305302,6,43,2
110,0.9503879136271396,17,5,2
111,0.9616897986875947,3,51,2
112,0.9508485670617024,7,33,2
113,0.9443233924497166,19,4,2
114,0.9494955531428286,8,36,2
115,0.9030816082116571,18,4,2
116,0.9028266131369588,16,5,3
117,0.8942753625616591,18,5,2
118,0.8863524425332397,12,12,2
119,0.7163925969986182,16,10,2
