,mq,No. Clus,Max clus,Min clus
0,2.106410256410256,6,6,2
1,2.0441457237482954,6,6,2
2,2.0441457237482954,6,6,2
3,2.0441457237482954,6,6,2
4,2.0441457237482954,6,6,2
5,2.0441457237482954,6,6,2
6,2.0441457237482954,6,6,2
7,2.0441457237482954,6,6,2
8,2.0441457237482954,6,6,2
9,2.0441457237482954,6,6,2
10,2.0441457237482954,6,6,2
11,2.0441457237482954,6,6,2
12,2.0441457237482954,6,6,2
13,2.0441457237482954,6,6,2
14,2.0441457237482954,6,6,2
15,2.0441457237482954,6,6,2
16,2.0441457237482954,6,6,2
17,2.0441457237482954,6,6,2
18,2.0441457237482954,6,6,2
19,2.0441457237482954,6,6,2
20,2.0423165101499663,6,7,2
21,2.0195624526133003,6,6,2
22,1.9725563574801745,6,6,2
23,1.9657384987893463,6,6,2
24,1.9657384987893463,6,6,2
25,1.9657384987893463,6,6,2
26,1.9657384987893463,6,6,2
27,1.9479730863451794,6,5,2
28,1.942960819438703,6,6,2
29,1.942960819438703,6,6,2
30,1.9412711360866894,6,6,2
31,1.853508136558984,6,7,2
32,1.853508136558984,6,7,2
33,1.853508136558984,6,7,2
34,1.8492741119351543,6,6,2
35,1.8380328710837186,6,6,2
36,1.8380328710837186,6,6,2
37,1.8380328710837186,6,6,2
38,1.7926432606941083,6,6,2
39,1.7812609101611658,6,7,2
40,1.7526929392446635,6,6,2
41,1.7254100058838642,6,7,2
42,1.7143519441674977,6,6,2
43,1.7078523686623746,6,7,2
44,1.7078523686623746,6,7,2
45,1.6717426395760957,6,6,2
46,1.660465738344172,6,6,2
47,1.660465738344172,6,6,2
48,1.660465738344172,6,6,2
49,1.5190439950713923,6,7,2
