No_gen, Best, MQ, No_clus, max_clus, min_clus
0,1.4958692670349816,1.5372840868942819,8,3,3
1,1.4958692670349816,1.5372840868942819,8,3,3
2,1.4958692670349816,1.5372840868942819,8,3,3
3,1.4958692670349816,1.5372840868942819,8,3,3
4,1.4958692670349816,1.5372840868942819,8,3,3
5,1.4958692670349816,1.5372840868942819,8,3,3
6,1.4958692670349816,1.5372840868942819,8,3,3
7,1.4976992016412698,1.5392054182376764,8,3,3
8,1.518933389416908,1.5677433247200687,6,6,2
9,1.5407337338300735,1.5906324951165838,6,6,2
10,1.5407337338300735,1.5906324951165838,6,6,2
11,1.5407337338300735,1.5906324951165838,6,6,2
12,1.5407337338300735,1.5906324951165838,6,6,2
13,1.5407337338300735,1.5906324951165838,6,6,2
14,1.577048206696642,1.6298012355627183,4,7,4
15,1.7003309709463104,1.7592414014786244,4,7,4
16,1.7003309709463104,1.7592414014786244,4,7,4
17,1.7003309709463104,1.7592414014786244,4,7,4
18,1.7003309709463104,1.7592414014786244,4,7,4
19,1.7003309709463104,1.7592414014786244,4,7,4
20,1.7392839647014546,1.7990993881413497,6,6,2
21,1.7392839647014546,1.7990993881413497,6,6,2
22,1.7392839647014546,1.7990993881413497,6,6,2
23,1.7656071073142474,1.827777777777778,4,7,4
24,1.7900403738661013,1.8534313725490197,4,7,4
25,1.7900403738661013,1.8534313725490197,4,7,4
26,1.7900403738661013,1.8534313725490197,4,7,4
27,1.7900403738661013,1.8534313725490197,4,7,4
28,1.7900403738661013,1.8534313725490197,4,7,4
29,1.7900403738661013,1.8534313725490197,4,7,4
30,1.7900403738661013,1.8534313725490197,4,7,4
31,1.7900403738661013,1.8534313725490197,4,7,4
32,1.7900403738661013,1.8534313725490197,4,7,4
33,1.7900403738661013,1.8534313725490197,4,7,4
34,1.7900403738661013,1.8534313725490197,4,7,4
35,1.7900403738661013,1.8534313725490197,4,7,4
36,1.7900403738661013,1.8534313725490197,4,7,4
37,1.7900403738661013,1.8534313725490197,4,7,4
38,1.7900403738661013,1.8534313725490197,4,7,4
39,1.7900403738661013,1.8534313725490197,4,7,4
40,1.7900403738661013,1.8534313725490197,4,7,4
41,1.7900403738661013,1.8534313725490197,4,7,4
42,1.7900403738661013,1.8534313725490197,4,7,4
43,1.7900403738661013,1.8534313725490197,4,7,4
44,1.7900403738661013,1.8534313725490197,4,7,4
45,1.7900403738661013,1.8534313725490197,4,7,4
46,1.7900403738661013,1.8534313725490197,4,7,4
47,1.7900403738661013,1.8534313725490197,4,7,4
48,1.7900403738661013,1.8534313725490197,4,7,4
49,1.7900403738661013,1.8534313725490197,4,7,4
50,1.7900403738661013,1.8534313725490197,4,7,4
51,1.7900403738661013,1.8534313725490197,4,7,4
52,1.7900403738661013,1.8534313725490197,4,7,4
53,1.7900403738661013,1.8534313725490197,4,7,4
54,1.7900403738661013,1.8534313725490197,4,7,4
55,1.7900403738661013,1.8534313725490197,4,7,4
56,1.7900403738661013,1.8534313725490197,4,7,4
57,1.7900403738661013,1.8534313725490197,4,7,4
58,1.7900403738661013,1.8534313725490197,4,7,4
59,1.7900403738661013,1.8534313725490197,4,7,4
60,1.7900403738661013,1.8534313725490197,4,7,4
61,1.8297139483921994,1.897167514455893,4,9,4
62,1.8297139483921994,1.897167514455893,4,9,4
63,1.8297139483921994,1.897167514455893,4,9,4
64,1.8297139483921994,1.897167514455893,4,9,4
65,1.8297139483921994,1.897167514455893,4,9,4
66,1.8297139483921994,1.897167514455893,4,9,4
67,1.8297139483921994,1.897167514455893,4,9,4
68,1.8297139483921994,1.897167514455893,4,9,4
69,1.8297139483921994,1.897167514455893,4,9,4
70,1.8297139483921994,1.897167514455893,4,9,4
71,1.8297139483921994,1.897167514455893,4,9,4
72,1.8297139483921994,1.897167514455893,4,9,4
73,1.8297139483921994,1.897167514455893,4,9,4
